# Température(°C);Conductivité(uS/cm);Conductivité de l'échantillon à 25°C (uS/cm);Conductivité méthode 2(uS/cm);Conductivité de l'échantillon à 25°C méthode 2 (uS/cm)
0.00;4886.28;5030.53;23.43;147.00
1.00;4886.28;5026.75;23.47;147.00
2.00;4853.04;4992.56;23.47;146.00
3.00;4853.04;4992.56;23.47;146.00
4.00;4886.28;5026.75;23.47;147.00
5.00;4919.52;5060.95;23.47;148.00
6.00;4886.28;5026.75;23.47;147.00
7.00;4853.04;4996.31;23.43;146.00
8.00;4919.52;5060.95;23.47;148.00
9.00;4886.28;5026.75;23.47;147.00
10.00;4886.28;5026.75;23.47;147.00
11.00;4853.04;4996.31;23.43;146.00
12.00;4919.52;5060.95;23.47;148.00
13.00;4886.28;5030.53;23.43;147.00
14.00;4853.04;4992.56;23.47;146.00
15.00;4853.04;4996.31;23.43;146.00
16.00;4853.04;4992.56;23.47;146.00
17.00;4886.28;5030.53;23.43;147.00
18.00;4853.04;4996.31;23.43;146.00
19.00;4853.04;4992.56;23.47;146.00
20.00;4919.52;5064.75;23.43;148.00
21.00;4919.52;5064.75;23.43;148.00
22.00;4853.04;4992.56;23.47;146.00
23.00;4853.04;4996.31;23.43;146.00
24.00;4919.52;5060.95;23.47;148.00
25.00;4853.04;4992.56;23.47;146.00
26.00;4853.04;4992.56;23.47;146.00
27.00;4853.04;4996.31;23.43;146.00
28.00;4853.04;4992.56;23.47;146.00
29.00;4886.28;5026.75;23.47;147.00
30.00;4853.04;4996.31;23.43;146.00
31.00;4853.04;4992.56;23.47;146.00
32.00;4886.28;5030.53;23.43;147.00
33.00;4853.04;4996.31;23.43;146.00
34.00;4853.04;4996.31;23.43;146.00
35.00;4886.28;5026.75;23.47;147.00
36.00;4853.04;4992.56;23.47;146.00
37.00;4853.04;4992.56;23.47;146.00
38.00;4853.04;4996.31;23.43;146.00
39.00;4886.28;5030.53;23.43;147.00
40.00;4853.04;4992.56;23.47;146.00
41.00;4853.04;4996.31;23.43;146.00
42.00;4919.52;5064.75;23.43;148.00
43.00;4853.04;4992.56;23.47;146.00
44.00;4919.52;5060.95;23.47;148.00
45.00;4853.04;4996.31;23.43;146.00
46.00;4853.04;4992.56;23.47;146.00
47.00;4853.04;4992.56;23.47;146.00
48.00;4853.04;4992.56;23.47;146.00
49.00;4886.28;5026.75;23.47;147.00
50.00;4853.04;4996.31;23.43;146.00
51.00;4919.52;5060.95;23.47;148.00
52.00;4886.28;5030.53;23.43;147.00
53.00;4886.28;5026.75;23.47;147.00
54.00;4886.28;5030.53;23.43;147.00
55.00;4853.04;4996.31;23.43;146.00
56.00;4886.28;5026.75;23.47;147.00
57.00;4853.04;4996.31;23.43;146.00
58.00;4819.80;4962.09;23.43;145.00
59.00;4853.04;4996.31;23.43;146.00
60.00;4886.28;5030.53;23.43;147.00
61.00;4886.28;5030.53;23.43;147.00
62.00;4886.28;5026.75;23.47;147.00
63.00;4853.04;4996.31;23.43;146.00
64.00;4919.52;5064.75;23.43;148.00
65.00;4853.04;4996.31;23.43;146.00
66.00;4886.28;5026.75;23.47;147.00
67.00;4886.28;5030.53;23.43;147.00
68.00;4886.28;5030.53;23.43;147.00
69.00;4853.04;4992.56;23.47;146.00
70.00;4853.04;4996.31;23.43;146.00
71.00;4886.28;5026.75;23.47;147.00
72.00;4919.52;5060.95;23.47;148.00
73.00;4853.04;4996.31;23.43;146.00
74.00;4853.04;4996.31;23.43;146.00
75.00;4853.04;4996.31;23.43;146.00
76.00;4853.04;4996.31;23.43;146.00
77.00;4853.04;4996.31;23.43;146.00
78.00;4853.04;4992.56;23.47;146.00
79.00;4886.28;5030.53;23.43;147.00
80.00;4853.04;4996.31;23.43;146.00
81.00;4853.04;4996.31;23.43;146.00
82.00;4886.28;5033.37;23.40;147.00
83.00;4853.04;4996.31;23.43;146.00
84.00;4853.04;4996.31;23.43;146.00
85.00;4886.28;5030.53;23.43;147.00
86.00;4853.04;4992.56;23.47;146.00
87.00;4853.04;4996.31;23.43;146.00
88.00;4886.28;5026.75;23.47;147.00
89.00;4853.04;4996.31;23.43;146.00
90.00;4853.04;4996.31;23.43;146.00
91.00;4853.04;4996.31;23.43;146.00
92.00;4853.04;4996.31;23.43;146.00
93.00;4919.52;5064.75;23.43;148.00
94.00;4919.52;5064.75;23.43;148.00
95.00;4853.04;4996.31;23.43;146.00
96.00;4853.04;4992.56;23.47;146.00
97.00;4853.04;4996.31;23.43;146.00
98.00;4853.04;4996.31;23.43;146.00
99.00;4819.80;4962.09;23.43;145.00
