# Température(°C);Conductivité(uS/cm);Conductivité de l'échantillon à 25°C (uS/cm);Conductivité méthode 2(uS/cm);Conductivité de l'échantillon à 25°C méthode 2 (uS/cm)
0.00;1837.08;1919.10;22.66;42.00
1.00;1924.56;2009.34;22.69;44.00
2.00;1837.08;1918.00;22.69;42.00
3.00;1837.08;1916.91;22.72;42.00
4.00;1880.82;1962.55;22.72;43.00
5.00;1880.82;1962.55;22.72;43.00
6.00;1793.34;1871.27;22.72;41.00
7.00;1837.08;1915.45;22.76;42.00
8.00;1837.08;1915.45;22.76;42.00
9.00;1880.82;1961.05;22.76;43.00
10.00;1837.08;1914.35;22.79;42.00
11.00;1837.08;1914.35;22.79;42.00
12.00;1837.08;1914.35;22.79;42.00
13.00;1793.34;1867.35;22.83;41.00
14.00;1880.82;1958.44;22.83;43.00
15.00;1880.82;1959.93;22.79;43.00
16.00;1880.82;1957.32;22.86;43.00
17.00;1880.82;1957.32;22.86;43.00
18.00;1837.08;1911.81;22.86;42.00
19.00;1837.08;1910.72;22.89;42.00
20.00;1880.82;1957.32;22.86;43.00
21.00;1837.08;1911.81;22.86;42.00
22.00;1837.08;1911.81;22.86;42.00
23.00;1880.82;1956.21;22.89;43.00
24.00;1837.08;1910.72;22.89;42.00
25.00;1793.34;1865.22;22.89;41.00
26.00;1880.82;1956.21;22.89;43.00
27.00;1880.82;1956.21;22.89;43.00
28.00;1880.82;1954.72;22.93;43.00
29.00;1880.82;1954.72;22.93;43.00
30.00;1880.82;1954.72;22.93;43.00
31.00;1880.82;1954.72;22.93;43.00
32.00;1880.82;1953.61;22.96;43.00
33.00;1837.08;1909.27;22.93;42.00
34.00;1880.82;1953.61;22.96;43.00
35.00;1880.82;1953.61;22.96;43.00
36.00;1880.82;1953.61;22.96;43.00
37.00;1837.08;1908.18;22.96;42.00
38.00;1924.56;1997.53;23.00;44.00
39.00;1924.56;1999.04;22.96;44.00
40.00;1837.08;1908.18;22.96;42.00
41.00;1924.56;1997.53;23.00;44.00
42.00;1880.82;1953.61;22.96;43.00
43.00;1880.82;1952.13;23.00;43.00
44.00;1924.56;1997.53;23.00;44.00
45.00;1924.56;1997.53;23.00;44.00
46.00;1880.82;1952.13;23.00;43.00
47.00;1880.82;1951.02;23.03;43.00
48.00;1924.56;1996.39;23.03;44.00
49.00;1880.82;1952.13;23.00;43.00
50.00;1924.56;1997.53;23.00;44.00
51.00;1880.82;1952.13;23.00;43.00
52.00;1837.08;1906.73;23.00;42.00
53.00;1880.82;1951.02;23.03;43.00
54.00;1924.56;1997.53;23.00;44.00
55.00;1880.82;1951.02;23.03;43.00
56.00;1924.56;1995.26;23.06;44.00
57.00;1968.30;2041.77;23.03;45.00
58.00;1880.82;1951.02;23.03;43.00
59.00;1924.56;1995.26;23.06;44.00
60.00;1880.82;1949.91;23.06;43.00
61.00;1924.56;1995.26;23.06;44.00
62.00;1924.56;1996.39;23.03;44.00
63.00;1924.56;1995.26;23.06;44.00
64.00;1968.30;2041.77;23.03;45.00
65.00;1924.56;1995.26;23.06;44.00
66.00;1924.56;1996.39;23.03;44.00
67.00;1924.56;1995.26;23.06;44.00
68.00;1968.30;2039.06;23.10;45.00
69.00;1880.82;1949.91;23.06;43.00
70.00;1924.56;1995.26;23.06;44.00
71.00;1924.56;1995.26;23.06;44.00
72.00;1968.30;2040.61;23.06;45.00
73.00;1924.56;1995.26;23.06;44.00
74.00;1924.56;1995.26;23.06;44.00
75.00;1968.30;2040.61;23.06;45.00
76.00;1924.56;1996.39;23.03;44.00
77.00;1880.82;1949.91;23.06;43.00
78.00;1924.56;1995.26;23.06;44.00
79.00;1924.56;1995.26;23.06;44.00
80.00;1924.56;1995.26;23.06;44.00
81.00;1968.30;2040.61;23.06;45.00
82.00;2012.04;2084.37;23.10;46.00
83.00;1968.30;2040.61;23.06;45.00
84.00;1924.56;1993.75;23.10;44.00
85.00;1924.56;1995.26;23.06;44.00
86.00;1924.56;1995.26;23.06;44.00
87.00;1924.56;1993.75;23.10;44.00
88.00;1968.30;2039.06;23.10;45.00
89.00;1968.30;2039.06;23.10;45.00
90.00;1968.30;2040.61;23.06;45.00
91.00;1968.30;2039.06;23.10;45.00
92.00;1924.56;1993.75;23.10;44.00
93.00;1924.56;1995.26;23.06;44.00
94.00;1924.56;1993.75;23.10;44.00
95.00;1924.56;1993.75;23.10;44.00
96.00;1924.56;1995.26;23.06;44.00
97.00;1924.56;1993.75;23.10;44.00
98.00;1924.56;1992.62;23.13;44.00
99.00;1924.56;1993.75;23.10;44.00
