# Température(°C);Conductivité(uS/cm);Conductivité de l'échantillon à 25°C (uS/cm);Conductivité méthode 2(uS/cm);Conductivité de l'échantillon à 25°C méthode 2 (uS/cm)
2.00;1775.74;1844.46;22.96;38.00
3.00;1775.74;1842.02;23.03;38.00
4.00;1822.47;1890.49;23.03;39.00
5.00;1822.47;1889.42;23.06;39.00
6.00;1775.74;3179.23;0.83;38.00
7.00;1775.74;1849.02;22.83;38.00
8.00;1822.47;1896.60;22.86;39.00
9.00;1775.74;1846.92;22.89;38.00
10.00;1775.74;1846.92;22.89;38.00
11.00;1822.47;1894.08;22.93;39.00
12.00;1822.47;1893.00;22.96;39.00
13.00;1775.74;1845.51;22.93;38.00
14.00;1775.74;1844.46;22.96;38.00
15.00;1775.74;1844.46;22.96;38.00
16.00;1775.74;1842.02;23.03;38.00
17.00;1822.47;1890.49;23.03;39.00
18.00;1822.47;1889.42;23.06;39.00
19.00;1775.74;1840.97;23.06;38.00
20.00;1822.47;1887.99;23.10;39.00
21.00;1822.47;1887.99;23.10;39.00
22.00;1775.74;1838.53;23.13;38.00
23.00;1822.47;1886.92;23.13;39.00
24.00;1775.74;1837.49;23.16;38.00
25.00;1775.74;1837.49;23.16;38.00
26.00;1775.74;1836.10;23.20;38.00
27.00;1775.74;1836.10;23.20;38.00
28.00;1775.74;1835.06;23.23;38.00
29.00;1822.47;1881.94;23.27;39.00
30.00;1822.47;1883.36;23.23;39.00
31.00;1822.47;1881.94;23.27;39.00
32.00;1822.47;1881.94;23.27;39.00
33.00;1822.47;1881.94;23.27;39.00
34.00;1775.74;1832.64;23.30;38.00
35.00;1822.47;1879.81;23.33;39.00
36.00;1775.74;1831.61;23.33;38.00
37.00;1775.74;1831.61;23.33;38.00
38.00;1775.74;1831.61;23.33;38.00
39.00;1822.47;1878.39;23.37;39.00
40.00;1822.47;1878.39;23.37;39.00
41.00;1775.74;1830.23;23.37;38.00
42.00;1822.47;1877.33;23.40;39.00
43.00;1775.74;1829.20;23.40;38.00
44.00;1822.47;1876.27;23.43;39.00
45.00;1775.74;1828.16;23.43;38.00
46.00;1775.74;1828.16;23.43;38.00
47.00;1775.74;1826.79;23.47;38.00
48.00;1775.74;1826.79;23.47;38.00
49.00;1775.74;1826.79;23.47;38.00
50.00;1729.01;1778.72;23.47;37.00
51.00;1775.74;1826.79;23.47;38.00
52.00;1775.74;1825.76;23.50;38.00
53.00;1869.20;1921.85;23.50;40.00
54.00;1822.47;1873.81;23.50;39.00
55.00;1775.74;1824.39;23.54;38.00
56.00;1822.47;1873.81;23.50;39.00
57.00;1729.01;1776.38;23.54;37.00
58.00;1822.47;1871.35;23.57;39.00
59.00;1822.47;1872.40;23.54;39.00
60.00;1822.47;1871.35;23.57;39.00
61.00;1822.47;1871.35;23.57;39.00
62.00;1822.47;1871.35;23.57;39.00
63.00;1775.74;1823.36;23.57;38.00
64.00;1775.74;1823.36;23.57;38.00
65.00;1822.47;1871.35;23.57;39.00
66.00;1869.20;1918.25;23.60;40.00
67.00;1775.74;1823.36;23.57;38.00
68.00;1822.47;1870.29;23.60;39.00
69.00;1822.47;1870.29;23.60;39.00
70.00;1775.74;1822.34;23.60;38.00
71.00;1822.47;1870.29;23.60;39.00
72.00;1822.47;1868.89;23.64;39.00
73.00;1822.47;1868.89;23.64;39.00
74.00;1775.74;1822.34;23.60;38.00
75.00;1775.74;1820.97;23.64;38.00
76.00;1775.74;1820.97;23.64;38.00
77.00;1822.47;1868.89;23.64;39.00
78.00;1822.47;1868.89;23.64;39.00
79.00;1822.47;1868.89;23.64;39.00
80.00;1775.74;1819.95;23.67;38.00
81.00;1822.47;1867.84;23.67;39.00
82.00;1822.47;1868.89;23.64;39.00
83.00;1729.01;1773.05;23.64;37.00
84.00;1775.74;1819.95;23.67;38.00
85.00;1775.74;1819.95;23.67;38.00
86.00;1822.47;1866.80;23.70;39.00
87.00;1775.74;1819.95;23.67;38.00
88.00;1775.74;1819.95;23.67;38.00
89.00;1822.47;1867.84;23.67;39.00
90.00;1822.47;1867.84;23.67;39.00
91.00;1822.47;1866.80;23.70;39.00
92.00;1869.20;1915.74;23.67;40.00
93.00;1822.47;1866.80;23.70;39.00
94.00;1775.74;1818.93;23.70;38.00
95.00;1822.47;1866.80;23.70;39.00
96.00;1775.74;1818.93;23.70;38.00
97.00;1775.74;1817.57;23.74;38.00
98.00;1775.74;1818.93;23.70;38.00
99.00;1822.47;1866.80;23.70;39.00
