# Température(°C);Conductivité(uS/cm);Conductivité de l'échantillon à 25°C (uS/cm);Conductivité méthode 2(uS/cm);Conductivité de l'échantillon à 25°C méthode 2 (uS/cm)
0.00;9765.96;10078.91;23.30;291.00
1.00;9799.52;10113.54;23.30;292.00
2.00;9765.96;10078.91;23.30;291.00
3.00;9765.96;10078.91;23.30;291.00
4.00;9799.52;10113.54;23.30;292.00
5.00;9732.40;10044.27;23.30;290.00
6.00;9799.52;10113.54;23.30;292.00
7.00;9765.96;10078.91;23.30;291.00
8.00;9765.96;10073.21;23.33;291.00
9.00;9799.52;10113.54;23.30;292.00
10.00;9765.96;10073.21;23.33;291.00
11.00;9765.96;10073.21;23.33;291.00
12.00;9799.52;10113.54;23.30;292.00
13.00;9765.96;10078.91;23.30;291.00
14.00;9799.52;10113.54;23.30;292.00
15.00;9799.52;10113.54;23.30;292.00
16.00;9765.96;10078.91;23.30;291.00
17.00;9765.96;10078.91;23.30;291.00
18.00;9765.96;10078.91;23.30;291.00
19.00;9732.40;10044.27;23.30;290.00
20.00;9799.52;10113.54;23.30;292.00
21.00;9732.40;10044.27;23.30;290.00
22.00;9765.96;10073.21;23.33;291.00
23.00;9799.52;10113.54;23.30;292.00
24.00;9732.40;10044.27;23.30;290.00
25.00;9765.96;10078.91;23.30;291.00
26.00;9765.96;10078.91;23.30;291.00
27.00;9765.96;10078.91;23.30;291.00
28.00;9833.08;10153.92;23.27;293.00
29.00;9732.40;10044.27;23.30;290.00
30.00;9765.96;10078.91;23.30;291.00
31.00;9765.96;10078.91;23.30;291.00
32.00;9732.40;10044.27;23.30;290.00
33.00;9765.96;10084.61;23.27;291.00
34.00;9765.96;10078.91;23.30;291.00
35.00;9732.40;10044.27;23.30;290.00
36.00;9765.96;10078.91;23.30;291.00
37.00;9799.52;10113.54;23.30;292.00
38.00;9799.52;10113.54;23.30;292.00
39.00;9799.52;10113.54;23.30;292.00
40.00;9698.84;10009.64;23.30;289.00
41.00;9765.96;10078.91;23.30;291.00
42.00;9799.52;10113.54;23.30;292.00
43.00;9732.40;10044.27;23.30;290.00
44.00;9765.96;10078.91;23.30;291.00
45.00;9732.40;10044.27;23.30;290.00
46.00;9732.40;10044.27;23.30;290.00
47.00;9833.08;10148.18;23.30;293.00
48.00;9732.40;10044.27;23.30;290.00
49.00;9765.96;10078.91;23.30;291.00
50.00;9833.08;10148.18;23.30;293.00
51.00;9698.84;10009.64;23.30;289.00
52.00;9765.96;10084.61;23.27;291.00
53.00;9732.40;10038.60;23.33;290.00
54.00;9698.84;10009.64;23.30;289.00
55.00;9765.96;10078.91;23.30;291.00
56.00;9732.40;10044.27;23.30;290.00
57.00;9765.96;10084.61;23.27;291.00
58.00;9799.52;10113.54;23.30;292.00
59.00;9698.84;10009.64;23.30;289.00
60.00;9732.40;10044.27;23.30;290.00
61.00;9799.52;10113.54;23.30;292.00
62.00;9765.96;10078.91;23.30;291.00
63.00;9765.96;10078.91;23.30;291.00
64.00;9765.96;10084.61;23.27;291.00
65.00;9765.96;10078.91;23.30;291.00
66.00;9765.96;10078.91;23.30;291.00
67.00;9732.40;10038.60;23.33;290.00
68.00;9799.52;10113.54;23.30;292.00
69.00;9732.40;10044.27;23.30;290.00
70.00;9698.84;10009.64;23.30;289.00
71.00;9765.96;10078.91;23.30;291.00
72.00;9765.96;10084.61;23.27;291.00
73.00;9732.40;10044.27;23.30;290.00
74.00;9765.96;10078.91;23.30;291.00
75.00;9732.40;10044.27;23.30;290.00
76.00;9799.52;10113.54;23.30;292.00
77.00;9765.96;10078.91;23.30;291.00
78.00;9732.40;10044.27;23.30;290.00
79.00;9765.96;10084.61;23.27;291.00
80.00;9799.52;10113.54;23.30;292.00
81.00;9732.40;10044.27;23.30;290.00
82.00;9765.96;10078.91;23.30;291.00
83.00;9732.40;10044.27;23.30;290.00
84.00;9765.96;10078.91;23.30;291.00
85.00;9765.96;10078.91;23.30;291.00
86.00;9732.40;10044.27;23.30;290.00
87.00;9765.96;10078.91;23.30;291.00
88.00;9799.52;10113.54;23.30;292.00
89.00;9799.52;10113.54;23.30;292.00
90.00;9765.96;10078.91;23.30;291.00
91.00;9732.40;10044.27;23.30;290.00
92.00;9765.96;10078.91;23.30;291.00
93.00;9799.52;10119.27;23.27;292.00
94.00;9698.84;10009.64;23.30;289.00
95.00;9732.40;10049.96;23.27;290.00
96.00;9732.40;10044.27;23.30;290.00
97.00;9765.96;10078.91;23.30;291.00
98.00;9765.96;10078.91;23.30;291.00
99.00;9765.96;10078.91;23.30;291.00
