# Température(°C);Conductivité(uS/cm);Conductivité de l'échantillon à 25°C (uS/cm);Conductivité méthode 2(uS/cm);Conductivité de l'échantillon à 25°C méthode 2 (uS/cm)
0.00;12570.37;13209.74;22.35;269.00
1.00;12523.64;13150.54;22.39;268.00
2.00;12570.37;13199.60;22.39;269.00
3.00;12617.10;13241.06;22.42;270.00
4.00;12570.37;13174.34;22.49;269.00
5.00;12570.37;13166.78;22.52;269.00
6.00;12663.83;13264.67;22.52;271.00
7.00;12617.10;13205.62;22.56;270.00
8.00;12523.64;13100.29;22.59;268.00
9.00;12617.10;13180.42;22.66;270.00
10.00;12570.37;13131.61;22.66;269.00
11.00;12617.10;13180.42;22.66;270.00
12.00;12523.64;13075.30;22.69;268.00
13.00;12570.37;13116.59;22.72;269.00
14.00;12617.10;13155.32;22.76;270.00
15.00;12570.37;13099.11;22.79;269.00
16.00;12617.10;13147.81;22.79;270.00
17.00;12617.10;13137.81;22.83;270.00
18.00;12617.10;13137.81;22.83;270.00
19.00;12570.37;13074.23;22.89;269.00
20.00;12570.37;13074.23;22.89;269.00
21.00;12663.83;13161.44;22.93;271.00
22.00;12617.10;13112.87;22.93;270.00
23.00;12570.37;13056.87;22.96;269.00
24.00;12617.10;13105.41;22.96;270.00
25.00;12570.37;13046.97;23.00;269.00
26.00;12523.64;12998.46;23.00;268.00
27.00;12663.83;13136.50;23.03;271.00
28.00;12617.10;13088.02;23.03;270.00
29.00;12476.91;12942.60;23.03;267.00
30.00;12617.10;13080.59;23.06;270.00
31.00;12617.10;13070.69;23.10;270.00
32.00;12570.37;13032.14;23.06;269.00
33.00;12570.37;13022.28;23.10;269.00
34.00;12570.37;13014.89;23.13;269.00
35.00;12617.10;13055.87;23.16;270.00
36.00;12523.64;12966.51;23.13;268.00
37.00;12617.10;13055.87;23.16;270.00
38.00;12617.10;13055.87;23.16;270.00
39.00;12617.10;13055.87;23.16;270.00
40.00;12523.64;12949.37;23.20;268.00
41.00;12617.10;13046.01;23.20;270.00
42.00;12617.10;13046.01;23.20;270.00
43.00;12570.37;12990.33;23.23;269.00
44.00;12570.37;12990.33;23.23;269.00
45.00;12663.83;13077.04;23.27;271.00
46.00;12570.37;12980.53;23.27;269.00
47.00;12523.64;12942.04;23.23;268.00
48.00;12663.83;13077.04;23.27;271.00
49.00;12617.10;13021.41;23.30;270.00
50.00;12570.37;12973.19;23.30;269.00
51.00;12617.10;13014.05;23.33;270.00
52.00;12617.10;13021.41;23.30;270.00
53.00;12570.37;12965.85;23.33;269.00
54.00;12523.64;12917.65;23.33;268.00
55.00;12617.10;13014.05;23.33;270.00
56.00;12570.37;12965.85;23.33;269.00
57.00;12570.37;12956.09;23.37;269.00
58.00;12570.37;12956.09;23.37;269.00
59.00;12523.64;12907.93;23.37;268.00
60.00;12663.83;13045.05;23.40;271.00
61.00;12570.37;12956.09;23.37;269.00
62.00;12617.10;12996.91;23.40;270.00
63.00;12663.83;13045.05;23.40;271.00
64.00;12617.10;12989.58;23.43;270.00
65.00;12523.64;12900.64;23.40;268.00
66.00;12570.37;12948.78;23.40;269.00
67.00;12617.10;12996.91;23.40;270.00
68.00;12617.10;12989.58;23.43;270.00
69.00;12570.37;12948.78;23.40;269.00
70.00;12617.10;12996.91;23.40;270.00
71.00;12570.37;12941.47;23.43;269.00
72.00;12476.91;12845.25;23.43;267.00
73.00;12570.37;12941.47;23.43;269.00
74.00;12617.10;12989.58;23.43;270.00
75.00;12617.10;12989.58;23.43;270.00
76.00;12523.64;12893.36;23.43;268.00
77.00;12617.10;12979.82;23.47;270.00
78.00;12663.83;13027.89;23.47;271.00
79.00;12617.10;12979.82;23.47;270.00
80.00;12570.37;12931.75;23.47;269.00
81.00;12570.37;12931.75;23.47;269.00
82.00;12570.37;12931.75;23.47;269.00
83.00;12570.37;12924.46;23.50;269.00
84.00;12570.37;12931.75;23.47;269.00
85.00;12617.10;12972.51;23.50;270.00
86.00;12663.83;13020.55;23.50;271.00
87.00;12523.64;12876.41;23.50;268.00
88.00;12617.10;12979.82;23.47;270.00
89.00;12617.10;12972.51;23.50;270.00
90.00;12617.10;12972.51;23.50;270.00
91.00;12617.10;12972.51;23.50;270.00
92.00;12663.83;13020.55;23.50;271.00
93.00;12617.10;12972.51;23.50;270.00
94.00;12476.91;12828.37;23.50;267.00
95.00;12570.37;12924.46;23.50;269.00
96.00;12617.10;12972.51;23.50;270.00
97.00;12617.10;12962.77;23.54;270.00
98.00;12523.64;12866.75;23.54;268.00
99.00;12663.83;13020.55;23.50;271.00
