# Température(°C);Conductivité(uS/cm);Conductivité de l'échantillon à 25°C (uS/cm);Conductivité méthode 2(uS/cm);Conductivité de l'échantillon à 25°C méthode 2 (uS/cm)
0.00;1749.60;1811.47;23.13;40.00
1.00;1749.60;1810.44;23.16;40.00
2.00;1749.60;1809.08;23.20;40.00
3.00;1705.86;1763.85;23.20;39.00
4.00;1705.86;1762.85;23.23;39.00
5.00;1749.60;1808.05;23.23;40.00
6.00;1749.60;1806.69;23.27;40.00
7.00;1662.12;1715.38;23.30;38.00
8.00;1662.12;1714.41;23.33;38.00
9.00;1705.86;1759.53;23.33;39.00
10.00;1749.60;1804.65;23.33;40.00
11.00;1749.60;1803.29;23.37;40.00
12.00;1793.34;1848.37;23.37;41.00
13.00;1705.86;1757.21;23.40;39.00
14.00;1749.60;1802.27;23.40;40.00
15.00;1749.60;1801.25;23.43;40.00
16.00;1705.86;1754.90;23.47;39.00
17.00;1749.60;1799.90;23.47;40.00
18.00;1705.86;1754.90;23.47;39.00
19.00;1705.86;1754.90;23.47;39.00
20.00;1749.60;1798.88;23.50;40.00
21.00;1705.86;1753.91;23.50;39.00
22.00;1749.60;1797.53;23.54;40.00
23.00;1749.60;1797.53;23.54;40.00
24.00;1793.34;1842.47;23.54;41.00
25.00;1705.86;1751.61;23.57;39.00
26.00;1705.86;1750.62;23.60;39.00
27.00;1749.60;1795.51;23.60;40.00
28.00;1793.34;1839.02;23.64;41.00
29.00;1749.60;1795.51;23.60;40.00
30.00;1705.86;1749.31;23.64;39.00
31.00;1749.60;1794.17;23.64;40.00
32.00;1749.60;1795.51;23.60;40.00
33.00;1793.34;1839.02;23.64;41.00
34.00;1749.60;1793.16;23.67;40.00
35.00;1749.60;1793.16;23.67;40.00
36.00;1749.60;1793.16;23.67;40.00
37.00;1749.60;1793.16;23.67;40.00
38.00;1749.60;1790.81;23.74;40.00
39.00;1705.86;1747.35;23.70;39.00
40.00;1749.60;1792.15;23.70;40.00
41.00;1749.60;1792.15;23.70;40.00
42.00;1793.34;1835.58;23.74;41.00
43.00;1705.86;1746.04;23.74;39.00
44.00;1705.86;1745.06;23.77;39.00
45.00;1662.12;1700.32;23.77;38.00
46.00;1749.60;1789.81;23.77;40.00
47.00;1749.60;1790.81;23.74;40.00
48.00;1705.86;1745.06;23.77;39.00
49.00;1705.86;1745.06;23.77;39.00
50.00;1705.86;1745.06;23.77;39.00
51.00;1793.34;1833.18;23.81;41.00
52.00;1705.86;1743.76;23.81;39.00
53.00;1749.60;1789.81;23.77;40.00
54.00;1705.86;1743.76;23.81;39.00
55.00;1749.60;1787.47;23.84;40.00
56.00;1749.60;1788.47;23.81;40.00
57.00;1749.60;1788.47;23.81;40.00
58.00;1749.60;1787.47;23.84;40.00
59.00;1749.60;1787.47;23.84;40.00
60.00;1749.60;1787.47;23.84;40.00
61.00;1705.86;1741.81;23.87;39.00
62.00;1705.86;1742.78;23.84;39.00
63.00;1749.60;1787.47;23.84;40.00
64.00;1749.60;1786.47;23.87;40.00
65.00;1749.60;1786.47;23.87;40.00
66.00;1749.60;1787.47;23.84;40.00
67.00;1749.60;1786.47;23.87;40.00
68.00;1705.86;1740.51;23.91;39.00
69.00;1749.60;1786.47;23.87;40.00
70.00;1749.60;1786.47;23.87;40.00
71.00;1662.12;1697.15;23.87;38.00
72.00;1705.86;1741.81;23.87;39.00
73.00;1749.60;1786.47;23.87;40.00
74.00;1749.60;1785.14;23.91;40.00
75.00;1705.86;1741.81;23.87;39.00
76.00;1749.60;1785.14;23.91;40.00
77.00;1705.86;1740.51;23.91;39.00
78.00;1705.86;1740.51;23.91;39.00
79.00;1705.86;1740.51;23.91;39.00
80.00;1705.86;1740.51;23.91;39.00
81.00;1705.86;1739.54;23.94;39.00
82.00;1749.60;1785.14;23.91;40.00
83.00;1749.60;1785.14;23.91;40.00
84.00;1662.12;1695.88;23.91;38.00
85.00;1793.34;1828.75;23.94;41.00
86.00;1749.60;1784.14;23.94;40.00
87.00;1749.60;1784.14;23.94;40.00
88.00;1749.60;1782.81;23.98;40.00
89.00;1705.86;1739.54;23.94;39.00
90.00;1705.86;1740.51;23.91;39.00
91.00;1749.60;1784.14;23.94;40.00
92.00;1749.60;1782.81;23.98;40.00
93.00;1705.86;1739.54;23.94;39.00
94.00;1705.86;1739.54;23.94;39.00
95.00;1749.60;1784.14;23.94;40.00
96.00;1749.60;1782.81;23.98;40.00
97.00;1749.60;1782.81;23.98;40.00
98.00;1705.86;1739.54;23.94;39.00
99.00;1749.60;1784.14;23.94;40.00
