# Température(°C);Conductivité(uS/cm);Conductivité de l'échantillon à 25°C (uS/cm);Conductivité méthode 2(uS/cm);Conductivité de l'échantillon à 25°C méthode 2 (uS/cm)
0.00;5701.06;5910.49;23.06;122.00
1.00;5701.06;5906.02;23.10;122.00
2.00;5701.06;5906.02;23.10;122.00
3.00;5701.06;5906.02;23.10;122.00
4.00;5747.79;5951.05;23.13;123.00
5.00;5701.06;5902.66;23.13;122.00
6.00;5701.06;5899.32;23.16;122.00
7.00;5701.06;5899.32;23.16;122.00
8.00;5794.52;5996.03;23.16;124.00
9.00;5701.06;5894.86;23.20;122.00
10.00;5701.06;5899.32;23.16;122.00
11.00;5701.06;5894.86;23.20;122.00
12.00;5747.79;5947.67;23.16;123.00
13.00;5701.06;5894.86;23.20;122.00
14.00;5747.79;5943.18;23.20;123.00
15.00;5701.06;5894.86;23.20;122.00
16.00;5654.33;5846.54;23.20;121.00
17.00;5701.06;5894.86;23.20;122.00
18.00;5654.33;5843.23;23.23;121.00
19.00;5701.06;5894.86;23.20;122.00
20.00;5747.79;5939.81;23.23;123.00
21.00;5747.79;5939.81;23.23;123.00
22.00;5794.52;5988.11;23.23;124.00
23.00;5747.79;5935.33;23.27;123.00
24.00;5701.06;5887.08;23.27;122.00
25.00;5794.52;5983.59;23.27;124.00
26.00;5701.06;5887.08;23.27;122.00
27.00;5701.06;5887.08;23.27;122.00
28.00;5654.33;5838.82;23.27;121.00
29.00;5747.79;5931.98;23.30;123.00
30.00;5701.06;5887.08;23.27;122.00
31.00;5654.33;5835.52;23.30;121.00
32.00;5701.06;5887.08;23.27;122.00
33.00;5701.06;5883.75;23.30;122.00
34.00;5701.06;5883.75;23.30;122.00
35.00;5701.06;5883.75;23.30;122.00
36.00;5701.06;5883.75;23.30;122.00
37.00;5701.06;5883.75;23.30;122.00
38.00;5701.06;5883.75;23.30;122.00
39.00;5701.06;5883.75;23.30;122.00
40.00;5701.06;5883.75;23.30;122.00
41.00;5701.06;5887.08;23.27;122.00
42.00;5701.06;5883.75;23.30;122.00
43.00;5747.79;5931.98;23.30;123.00
44.00;5654.33;5835.52;23.30;121.00
45.00;5701.06;5880.42;23.33;122.00
46.00;5701.06;5880.42;23.33;122.00
47.00;5747.79;5931.98;23.30;123.00
48.00;5747.79;5931.98;23.30;123.00
49.00;5701.06;5880.42;23.33;122.00
50.00;5747.79;5928.62;23.33;123.00
51.00;5701.06;5880.42;23.33;122.00
52.00;5747.79;5928.62;23.33;123.00
53.00;5701.06;5880.42;23.33;122.00
54.00;5701.06;5880.42;23.33;122.00
55.00;5701.06;5880.42;23.33;122.00
56.00;5701.06;5876.00;23.37;122.00
57.00;5701.06;5880.42;23.33;122.00
58.00;5747.79;5928.62;23.33;123.00
59.00;5747.79;5928.62;23.33;123.00
60.00;5794.52;5976.82;23.33;124.00
61.00;5701.06;5876.00;23.37;122.00
62.00;5701.06;5880.42;23.33;122.00
63.00;5701.06;5876.00;23.37;122.00
64.00;5747.79;5924.16;23.37;123.00
65.00;5701.06;5876.00;23.37;122.00
66.00;5701.06;5880.42;23.33;122.00
67.00;5701.06;5880.42;23.33;122.00
68.00;5794.52;5972.32;23.37;124.00
69.00;5654.33;5832.22;23.33;121.00
70.00;5701.06;5876.00;23.37;122.00
71.00;5794.52;5976.82;23.33;124.00
72.00;5701.06;5876.00;23.37;122.00
73.00;5701.06;5876.00;23.37;122.00
74.00;5701.06;5876.00;23.37;122.00
75.00;5701.06;5876.00;23.37;122.00
76.00;5747.79;5928.62;23.33;123.00
77.00;5701.06;5876.00;23.37;122.00
78.00;5701.06;5876.00;23.37;122.00
79.00;5701.06;5876.00;23.37;122.00
80.00;5701.06;5876.00;23.37;122.00
81.00;5701.06;5876.00;23.37;122.00
82.00;5747.79;5924.16;23.37;123.00
83.00;5701.06;5876.00;23.37;122.00
84.00;5747.79;5924.16;23.37;123.00
85.00;5701.06;5876.00;23.37;122.00
86.00;5701.06;5880.42;23.33;122.00
87.00;5701.06;5876.00;23.37;122.00
88.00;5747.79;5924.16;23.37;123.00
89.00;5701.06;5872.68;23.40;122.00
90.00;5701.06;5876.00;23.37;122.00
91.00;5701.06;5872.68;23.40;122.00
92.00;5701.06;5876.00;23.37;122.00
93.00;5747.79;5924.16;23.37;123.00
94.00;5747.79;5924.16;23.37;123.00
95.00;5701.06;5876.00;23.37;122.00
96.00;5701.06;5872.68;23.40;122.00
97.00;5747.79;5920.82;23.40;123.00
98.00;5701.06;5872.68;23.40;122.00
99.00;5747.79;5920.82;23.40;123.00
