# Température(°C);Conductivité(uS/cm);Conductivité de l'échantillon à 25°C (uS/cm);Conductivité méthode 2(uS/cm);Conductivité de l'échantillon à 25°C méthode 2 (uS/cm)
0.00;12378.42;12775.09;23.30;283.00
1.00;12378.42;12782.31;23.27;283.00
2.00;12422.16;12820.23;23.30;284.00
3.00;12422.16;12827.48;23.27;284.00
4.00;12378.42;12775.09;23.30;283.00
5.00;12334.68;12737.15;23.27;282.00
6.00;12465.90;12872.65;23.27;285.00
7.00;12290.94;12684.80;23.30;281.00
8.00;12378.42;12775.09;23.30;283.00
9.00;12290.94;12691.98;23.27;281.00
10.00;12422.16;12827.48;23.27;284.00
11.00;12334.68;12729.94;23.30;282.00
12.00;12378.42;12775.09;23.30;283.00
13.00;12334.68;12737.15;23.27;282.00
14.00;12465.90;12872.65;23.27;285.00
15.00;12378.42;12782.31;23.27;283.00
16.00;12378.42;12782.31;23.27;283.00
17.00;12378.42;12775.09;23.30;283.00
18.00;12422.16;12827.48;23.27;284.00
19.00;12378.42;12782.31;23.27;283.00
20.00;12422.16;12820.23;23.30;284.00
21.00;12422.16;12827.48;23.27;284.00
22.00;12422.16;12827.48;23.27;284.00
23.00;12422.16;12827.48;23.27;284.00
24.00;12422.16;12820.23;23.30;284.00
25.00;12378.42;12775.09;23.30;283.00
26.00;12378.42;12782.31;23.27;283.00
27.00;12378.42;12782.31;23.27;283.00
28.00;12422.16;12827.48;23.27;284.00
29.00;12334.68;12729.94;23.30;282.00
30.00;12422.16;12827.48;23.27;284.00
31.00;12422.16;12827.48;23.27;284.00
32.00;12378.42;12775.09;23.30;283.00
33.00;12378.42;12775.09;23.30;283.00
34.00;12378.42;12782.31;23.27;283.00
35.00;12422.16;12827.48;23.27;284.00
36.00;12378.42;12782.31;23.27;283.00
37.00;12465.90;12872.65;23.27;285.00
38.00;12378.42;12782.31;23.27;283.00
39.00;12378.42;12775.09;23.30;283.00
40.00;12334.68;12737.15;23.27;282.00
41.00;12378.42;12775.09;23.30;283.00
42.00;12378.42;12775.09;23.30;283.00
43.00;12422.16;12827.48;23.27;284.00
44.00;12290.94;12684.80;23.30;281.00
45.00;12422.16;12827.48;23.27;284.00
46.00;12290.94;12691.98;23.27;281.00
47.00;12465.90;12865.37;23.30;285.00
48.00;12334.68;12729.94;23.30;282.00
49.00;12465.90;12872.65;23.27;285.00
50.00;12334.68;12737.15;23.27;282.00
51.00;12422.16;12827.48;23.27;284.00
52.00;12334.68;12737.15;23.27;282.00
53.00;12422.16;12827.48;23.27;284.00
54.00;12334.68;12729.94;23.30;282.00
55.00;12422.16;12827.48;23.27;284.00
56.00;12334.68;12729.94;23.30;282.00
57.00;12378.42;12782.31;23.27;283.00
58.00;12334.68;12737.15;23.27;282.00
59.00;12422.16;12820.23;23.30;284.00
60.00;12378.42;12782.31;23.27;283.00
61.00;12378.42;12775.09;23.30;283.00
62.00;12334.68;12737.15;23.27;282.00
63.00;12378.42;12782.31;23.27;283.00
64.00;12334.68;12737.15;23.27;282.00
65.00;12378.42;12782.31;23.27;283.00
66.00;12378.42;12782.31;23.27;283.00
67.00;12465.90;12865.37;23.30;285.00
68.00;12334.68;12729.94;23.30;282.00
69.00;12422.16;12820.23;23.30;284.00
70.00;12334.68;12729.94;23.30;282.00
71.00;12422.16;12820.23;23.30;284.00
72.00;12378.42;12782.31;23.27;283.00
73.00;12465.90;12865.37;23.30;285.00
74.00;12422.16;12820.23;23.30;284.00
75.00;12422.16;12827.48;23.27;284.00
76.00;12378.42;12775.09;23.30;283.00
77.00;12378.42;12782.31;23.27;283.00
78.00;12422.16;12827.48;23.27;284.00
79.00;12422.16;12827.48;23.27;284.00
80.00;12378.42;12782.31;23.27;283.00
81.00;12378.42;12775.09;23.30;283.00
82.00;12378.42;12775.09;23.30;283.00
83.00;12422.16;12820.23;23.30;284.00
84.00;12378.42;12775.09;23.30;283.00
85.00;12378.42;12782.31;23.27;283.00
86.00;12422.16;12827.48;23.27;284.00
87.00;12378.42;12782.31;23.27;283.00
88.00;12378.42;12782.31;23.27;283.00
89.00;12422.16;12827.48;23.27;284.00
90.00;12378.42;12782.31;23.27;283.00
91.00;12422.16;12827.48;23.27;284.00
92.00;12378.42;12782.31;23.27;283.00
93.00;12378.42;12782.31;23.27;283.00
94.00;12334.68;12737.15;23.27;282.00
95.00;12378.42;12775.09;23.30;283.00
96.00;12422.16;12820.23;23.30;284.00
97.00;12422.16;12827.48;23.27;284.00
98.00;12378.42;12791.96;23.23;283.00
99.00;12422.16;12820.23;23.30;284.00
