# Température(°C);Conductivité(uS/cm);Conductivité de l'échantillon à 25°C (uS/cm);Conductivité méthode 2(uS/cm);Conductivité de l'échantillon à 25°C méthode 2 (uS/cm)
0.00;6729.12;6953.93;23.23;144.00
1.00;6729.12;6953.93;23.23;144.00
2.00;6729.12;6963.13;23.16;144.00
3.00;6729.12;6957.87;23.20;144.00
4.00;6729.12;6953.93;23.23;144.00
5.00;6729.12;6953.93;23.23;144.00
6.00;6729.12;6953.93;23.23;144.00
7.00;6682.39;6905.64;23.23;143.00
8.00;6682.39;6909.55;23.20;143.00
9.00;6682.39;6905.64;23.23;143.00
10.00;6729.12;6953.93;23.23;144.00
11.00;6729.12;6953.93;23.23;144.00
12.00;6775.85;7002.22;23.23;145.00
13.00;6682.39;6905.64;23.23;143.00
14.00;6775.85;7002.22;23.23;145.00
15.00;6729.12;6957.87;23.20;144.00
16.00;6729.12;6953.93;23.23;144.00
17.00;6775.85;6996.94;23.27;145.00
18.00;6775.85;7002.22;23.23;145.00
19.00;6682.39;6905.64;23.23;143.00
20.00;6775.85;6996.94;23.27;145.00
21.00;6682.39;6905.64;23.23;143.00
22.00;6729.12;6948.68;23.27;144.00
23.00;6729.12;6948.68;23.27;144.00
24.00;6729.12;6953.93;23.23;144.00
25.00;6729.12;6948.68;23.27;144.00
26.00;6729.12;6948.68;23.27;144.00
27.00;6729.12;6953.93;23.23;144.00
28.00;6729.12;6948.68;23.27;144.00
29.00;6822.58;7045.19;23.27;146.00
30.00;6729.12;6948.68;23.27;144.00
31.00;6729.12;6948.68;23.27;144.00
32.00;6729.12;6948.68;23.27;144.00
33.00;6729.12;6948.68;23.27;144.00
34.00;6729.12;6948.68;23.27;144.00
35.00;6729.12;6948.68;23.27;144.00
36.00;6682.39;6900.43;23.27;143.00
37.00;6729.12;6948.68;23.27;144.00
38.00;6729.12;6948.68;23.27;144.00
39.00;6682.39;6900.43;23.27;143.00
40.00;6775.85;6996.94;23.27;145.00
41.00;6729.12;6948.68;23.27;144.00
42.00;6729.12;6948.68;23.27;144.00
43.00;6729.12;6948.68;23.27;144.00
44.00;6729.12;6948.68;23.27;144.00
45.00;6729.12;6948.68;23.27;144.00
46.00;6729.12;6944.75;23.30;144.00
47.00;6729.12;6948.68;23.27;144.00
48.00;6775.85;6996.94;23.27;145.00
49.00;6682.39;6900.43;23.27;143.00
50.00;6729.12;6944.75;23.30;144.00
51.00;6729.12;6948.68;23.27;144.00
52.00;6729.12;6948.68;23.27;144.00
53.00;6729.12;6948.68;23.27;144.00
54.00;6729.12;6944.75;23.30;144.00
55.00;6729.12;6948.68;23.27;144.00
56.00;6729.12;6944.75;23.30;144.00
57.00;6729.12;6944.75;23.30;144.00
58.00;6729.12;6948.68;23.27;144.00
59.00;6775.85;6996.94;23.27;145.00
60.00;6729.12;6944.75;23.30;144.00
61.00;6729.12;6944.75;23.30;144.00
62.00;6729.12;6944.75;23.30;144.00
63.00;6729.12;6944.75;23.30;144.00
64.00;6729.12;6944.75;23.30;144.00
65.00;6729.12;6944.75;23.30;144.00
66.00;6729.12;6944.75;23.30;144.00
67.00;6729.12;6944.75;23.30;144.00
68.00;6729.12;6944.75;23.30;144.00
69.00;6729.12;6944.75;23.30;144.00
70.00;6682.39;6896.53;23.30;143.00
71.00;6729.12;6944.75;23.30;144.00
72.00;6729.12;6944.75;23.30;144.00
73.00;6729.12;6944.75;23.30;144.00
74.00;6822.58;7041.21;23.30;146.00
75.00;6775.85;6996.94;23.27;145.00
76.00;6729.12;6944.75;23.30;144.00
77.00;6729.12;6944.75;23.30;144.00
78.00;6729.12;6944.75;23.30;144.00
79.00;6729.12;6944.75;23.30;144.00
80.00;6775.85;6992.98;23.30;145.00
81.00;6729.12;6944.75;23.30;144.00
82.00;6729.12;6944.75;23.30;144.00
83.00;6729.12;6944.75;23.30;144.00
84.00;6729.12;6944.75;23.30;144.00
85.00;6729.12;6944.75;23.30;144.00
86.00;6729.12;6944.75;23.30;144.00
87.00;6682.39;6896.53;23.30;143.00
88.00;6729.12;6944.75;23.30;144.00
89.00;6729.12;6944.75;23.30;144.00
90.00;6775.85;6992.98;23.30;145.00
91.00;6729.12;6944.75;23.30;144.00
92.00;6729.12;6944.75;23.30;144.00
93.00;6682.39;6896.53;23.30;143.00
94.00;6729.12;6944.75;23.30;144.00
95.00;6682.39;6896.53;23.30;143.00
96.00;6775.85;6992.98;23.30;145.00
97.00;6729.12;6944.75;23.30;144.00
98.00;6775.85;6989.03;23.33;145.00
99.00;6729.12;6940.83;23.33;144.00
