# Température(°C);Conductivité(uS/cm);Conductivité de l'échantillon à 25°C (uS/cm);Conductivité méthode 2(uS/cm);Conductivité de l'échantillon à 25°C méthode 2 (uS/cm)
0.00;1703.52;1762.76;23.16;42.00
1.00;1662.96;1720.79;23.16;41.00
2.00;1662.96;1720.79;23.16;41.00
3.00;1662.96;1720.79;23.16;41.00
4.00;1662.96;1720.79;23.16;41.00
5.00;1662.96;1720.79;23.16;41.00
6.00;1662.96;1720.79;23.16;41.00
7.00;1703.52;1762.76;23.16;42.00
8.00;1662.96;1719.49;23.20;41.00
9.00;1662.96;1720.79;23.16;41.00
10.00;1622.40;1678.82;23.16;40.00
11.00;1622.40;1678.82;23.16;40.00
12.00;1662.96;1720.79;23.16;41.00
13.00;1662.96;1720.79;23.16;41.00
14.00;1662.96;1720.79;23.16;41.00
15.00;1662.96;1720.79;23.16;41.00
16.00;1622.40;1678.82;23.16;40.00
17.00;1662.96;1720.79;23.16;41.00
18.00;1703.52;1762.76;23.16;42.00
19.00;1662.96;1720.79;23.16;41.00
20.00;1662.96;1720.79;23.16;41.00
21.00;1662.96;1720.79;23.16;41.00
22.00;1622.40;1678.82;23.16;40.00
23.00;1662.96;1720.79;23.16;41.00
24.00;1662.96;1720.79;23.16;41.00
25.00;1662.96;1720.79;23.16;41.00
26.00;1622.40;1678.82;23.16;40.00
27.00;1703.52;1762.76;23.16;42.00
28.00;1662.96;1720.79;23.16;41.00
29.00;1622.40;1678.82;23.16;40.00
30.00;1662.96;1720.79;23.16;41.00
31.00;1662.96;1720.79;23.16;41.00
32.00;1662.96;1720.79;23.16;41.00
33.00;1662.96;1720.79;23.16;41.00
34.00;1703.52;1761.43;23.20;42.00
35.00;1662.96;1720.79;23.16;41.00
36.00;1662.96;1720.79;23.16;41.00
37.00;1662.96;1720.79;23.16;41.00
38.00;1662.96;1721.77;23.13;41.00
39.00;1662.96;1720.79;23.16;41.00
40.00;1703.52;1762.76;23.16;42.00
41.00;1662.96;1720.79;23.16;41.00
42.00;1662.96;1720.79;23.16;41.00
43.00;1662.96;1720.79;23.16;41.00
44.00;1703.52;1762.76;23.16;42.00
45.00;1703.52;1762.76;23.16;42.00
46.00;1662.96;1720.79;23.16;41.00
47.00;1662.96;1720.79;23.16;41.00
48.00;1662.96;1720.79;23.16;41.00
49.00;1662.96;1720.79;23.16;41.00
50.00;1662.96;1720.79;23.16;41.00
51.00;1662.96;1720.79;23.16;41.00
52.00;1622.40;1678.82;23.16;40.00
53.00;1622.40;1678.82;23.16;40.00
54.00;1622.40;1677.55;23.20;40.00
55.00;1622.40;1678.82;23.16;40.00
56.00;1662.96;1719.49;23.20;41.00
57.00;1622.40;1678.82;23.16;40.00
58.00;1662.96;1720.79;23.16;41.00
59.00;1662.96;1720.79;23.16;41.00
60.00;1662.96;1720.79;23.16;41.00
61.00;1622.40;1678.82;23.16;40.00
62.00;1703.52;1761.43;23.20;42.00
63.00;1662.96;1720.79;23.16;41.00
64.00;1622.40;1678.82;23.16;40.00
65.00;1622.40;1678.82;23.16;40.00
66.00;1622.40;1678.82;23.16;40.00
67.00;1662.96;1720.79;23.16;41.00
68.00;1622.40;1678.82;23.16;40.00
69.00;1662.96;1720.79;23.16;41.00
70.00;1703.52;1762.76;23.16;42.00
71.00;1622.40;1678.82;23.16;40.00
72.00;1662.96;1720.79;23.16;41.00
73.00;1622.40;1678.82;23.16;40.00
74.00;1703.52;1762.76;23.16;42.00
75.00;1662.96;1720.79;23.16;41.00
76.00;1662.96;1720.79;23.16;41.00
77.00;1622.40;1678.82;23.16;40.00
78.00;1703.52;1762.76;23.16;42.00
79.00;1662.96;1719.49;23.20;41.00
80.00;1662.96;1720.79;23.16;41.00
81.00;1662.96;1720.79;23.16;41.00
82.00;1703.52;1762.76;23.16;42.00
83.00;1622.40;1678.82;23.16;40.00
84.00;1662.96;1720.79;23.16;41.00
85.00;1622.40;1678.82;23.16;40.00
86.00;1744.08;1804.73;23.16;43.00
87.00;1662.96;1720.79;23.16;41.00
88.00;1662.96;1720.79;23.16;41.00
89.00;1622.40;1677.55;23.20;40.00
90.00;1662.96;1720.79;23.16;41.00
91.00;1662.96;1720.79;23.16;41.00
92.00;1622.40;1678.82;23.16;40.00
93.00;1622.40;1678.82;23.16;40.00
94.00;1662.96;1719.49;23.20;41.00
95.00;1703.52;1762.76;23.16;42.00
96.00;1622.40;1678.82;23.16;40.00
97.00;1703.52;1762.76;23.16;42.00
98.00;1622.40;1677.55;23.20;40.00
99.00;1703.52;1762.76;23.16;42.00
