# Température(°C);Conductivité(uS/cm);Conductivité de l'échantillon à 25°C (uS/cm);Conductivité méthode 2(uS/cm);Conductivité de l'échantillon à 25°C méthode 2 (uS/cm)
1.00;4899.76;8427.89;2.08;146.00
2.00;4966.88;5246.70;22.08;148.00
3.00;4866.20;5133.42;22.15;145.00
4.00;4899.76;5168.82;22.15;146.00
5.00;4899.76;5165.83;22.18;146.00
6.00;4866.20;7666.84;5.00;145.00
7.00;4933.32;5221.32;21.98;147.00
8.00;4866.20;5150.29;21.98;145.00
9.00;4899.76;5185.81;21.98;146.00
10.00;4899.76;5185.81;21.98;146.00
11.00;4899.76;5182.80;22.01;146.00
12.00;4866.20;5147.30;22.01;145.00
13.00;4899.76;5175.80;22.08;146.00
14.00;4966.88;5246.70;22.08;148.00
15.00;4866.20;5133.42;22.15;145.00
16.00;4899.76;5168.82;22.15;146.00
17.00;4899.76;5165.83;22.18;146.00
18.00;4933.32;5197.21;22.22;147.00
19.00;4899.76;5161.86;22.22;146.00
20.00;4899.76;5158.88;22.25;146.00
21.00;4899.76;5151.94;22.32;146.00
22.00;4899.76;5151.94;22.32;146.00
23.00;4899.76;5151.94;22.32;146.00
24.00;4899.76;5148.98;22.35;146.00
25.00;4933.32;5180.27;22.39;147.00
26.00;4899.76;5142.07;22.42;146.00
27.00;4899.76;5142.07;22.42;146.00
28.00;4899.76;5142.07;22.42;146.00
29.00;4899.76;5135.18;22.49;146.00
30.00;4899.76;5135.18;22.49;146.00
31.00;4899.76;5135.18;22.49;146.00
32.00;4899.76;5132.23;22.52;146.00
33.00;4899.76;5128.31;22.56;146.00
34.00;4899.76;5125.37;22.59;146.00
35.00;4933.32;5160.47;22.59;147.00
36.00;4966.88;5195.58;22.59;148.00
37.00;4899.76;5125.37;22.59;146.00
38.00;4966.88;5188.64;22.66;148.00
39.00;4899.76;5122.43;22.62;146.00
40.00;4933.32;5153.58;22.66;147.00
41.00;4933.32;5150.63;22.69;147.00
42.00;4966.88;5185.67;22.69;148.00
43.00;4933.32;5147.69;22.72;147.00
44.00;4966.88;5182.71;22.72;148.00
45.00;4933.32;5147.69;22.72;147.00
46.00;4899.76;5108.77;22.76;146.00
47.00;4899.76;5105.86;22.79;146.00
48.00;4899.76;5105.86;22.79;146.00
49.00;4899.76;5108.77;22.76;146.00
50.00;4933.32;5140.83;22.79;147.00
51.00;4899.76;5105.86;22.79;146.00
52.00;4933.32;5140.83;22.79;147.00
53.00;4899.76;5099.06;22.86;146.00
54.00;4933.32;5133.99;22.86;147.00
55.00;4933.32;5133.99;22.86;147.00
56.00;4899.76;5099.06;22.86;146.00
57.00;4933.32;5136.92;22.83;147.00
58.00;4933.32;5133.99;22.86;147.00
59.00;4933.32;5131.06;22.89;147.00
60.00;4899.76;5096.16;22.89;146.00
61.00;4899.76;5096.16;22.89;146.00
62.00;4899.76;5096.16;22.89;146.00
63.00;4899.76;5092.29;22.93;146.00
64.00;4933.32;5127.17;22.93;147.00
65.00;4899.76;5092.29;22.93;146.00
66.00;4966.88;5162.05;22.93;148.00
67.00;4933.32;5124.25;22.96;147.00
68.00;4933.32;5120.36;23.00;147.00
69.00;4899.76;5089.39;22.96;146.00
70.00;4933.32;5124.25;22.96;147.00
71.00;4899.76;5089.39;22.96;146.00
72.00;4966.88;5155.20;23.00;148.00
73.00;4933.32;5124.25;22.96;147.00
74.00;4899.76;5085.53;23.00;146.00
75.00;4933.32;5124.25;22.96;147.00
76.00;4899.76;5085.53;23.00;146.00
77.00;4899.76;5082.64;23.03;146.00
78.00;4933.32;5120.36;23.00;147.00
79.00;4899.76;5085.53;23.00;146.00
80.00;4899.76;5082.64;23.03;146.00
81.00;4933.32;5114.55;23.06;147.00
82.00;4966.88;5149.34;23.06;148.00
83.00;4966.88;5149.34;23.06;148.00
84.00;4966.88;5152.27;23.03;148.00
85.00;4933.32;5117.45;23.03;147.00
86.00;4933.32;5114.55;23.06;147.00
87.00;4966.88;5149.34;23.06;148.00
88.00;4933.32;5114.55;23.06;147.00
89.00;4899.76;5079.75;23.06;146.00
90.00;4933.32;5114.55;23.06;147.00
91.00;4933.32;5110.67;23.10;147.00
92.00;4899.76;5079.75;23.06;146.00
93.00;4933.32;5110.67;23.10;147.00
94.00;4899.76;5079.75;23.06;146.00
95.00;4933.32;5114.55;23.06;147.00
96.00;4933.32;5110.67;23.10;147.00
97.00;4966.88;5145.44;23.10;148.00
98.00;4933.32;5110.67;23.10;147.00
99.00;4899.76;5075.91;23.10;146.00
