# Température(°C);Conductivité(uS/cm);Conductivité de l'échantillon à 25°C (uS/cm);Conductivité méthode 2(uS/cm);Conductivité de l'échantillon à 25°C méthode 2 (uS/cm)
0.00;1329.60;1398.84;22.29;40.00
2.00;1296.36;2354.85;0.39;39.00
3.00;1329.60;1396.16;22.39;40.00
4.00;1263.12;1326.35;22.39;38.00
5.00;1296.36;1361.25;22.39;39.00
6.00;1296.36;1360.47;22.42;39.00
7.00;1296.36;1360.47;22.42;39.00
8.00;1296.36;1359.69;22.45;39.00
9.00;1296.36;1359.69;22.45;39.00
10.00;1296.36;1358.65;22.49;39.00
11.00;1263.12;1323.81;22.49;38.00
12.00;1329.60;1392.68;22.52;40.00
13.00;1296.36;1357.87;22.52;39.00
14.00;1296.36;1356.83;22.56;39.00
15.00;1296.36;2354.85;0.39;39.00
16.00;1329.60;1396.16;22.39;40.00
17.00;1263.12;1326.35;22.39;38.00
18.00;1296.36;1361.25;22.39;39.00
19.00;1296.36;1360.47;22.42;39.00
20.00;1296.36;1360.47;22.42;39.00
21.00;1296.36;1359.69;22.45;39.00
22.00;1296.36;1359.69;22.45;39.00
23.00;1296.36;1358.65;22.49;39.00
24.00;1263.12;1323.81;22.49;38.00
25.00;1329.60;1392.68;22.52;40.00
26.00;1296.36;1357.87;22.52;39.00
27.00;1296.36;1356.83;22.56;39.00
28.00;1296.36;1356.83;22.56;39.00
29.00;1329.60;1390.82;22.59;40.00
30.00;1329.60;1390.02;22.62;40.00
31.00;1296.36;1354.24;22.66;39.00
32.00;1329.60;1388.96;22.66;40.00
33.00;1296.36;1353.46;22.69;39.00
34.00;1329.60;1388.17;22.69;40.00
35.00;1296.36;1353.46;22.69;39.00
36.00;1296.36;1352.69;22.72;39.00
37.00;1329.60;1386.32;22.76;40.00
38.00;1296.36;1352.69;22.72;39.00
39.00;1296.36;1351.66;22.76;39.00
40.00;1296.36;1350.89;22.79;39.00
41.00;1329.60;1386.32;22.76;40.00
42.00;1329.60;1384.47;22.83;40.00
43.00;1296.36;1350.89;22.79;39.00
44.00;1296.36;1349.86;22.83;39.00
45.00;1329.60;1384.47;22.83;40.00
46.00;1362.84;1418.28;22.86;41.00
47.00;1263.12;1314.50;22.86;38.00
48.00;1329.60;1382.89;22.89;40.00
49.00;1296.36;1348.32;22.89;39.00
50.00;1296.36;1348.32;22.89;39.00
51.00;1296.36;1348.32;22.89;39.00
52.00;1296.36;1347.30;22.93;39.00
53.00;1296.36;1346.53;22.96;39.00
54.00;1296.36;1346.53;22.96;39.00
55.00;1296.36;1346.53;22.96;39.00
56.00;1263.12;1312.01;22.96;38.00
57.00;1263.12;1311.01;23.00;38.00
58.00;1263.12;1311.01;23.00;38.00
59.00;1296.36;1346.53;22.96;39.00
60.00;1296.36;1344.75;23.03;39.00
61.00;1296.36;1345.51;23.00;39.00
62.00;1263.12;1311.01;23.00;38.00
63.00;1296.36;1344.75;23.03;39.00
64.00;1296.36;1344.75;23.03;39.00
65.00;1296.36;1343.98;23.06;39.00
66.00;1263.12;1310.27;23.03;38.00
67.00;1263.12;1309.52;23.06;38.00
68.00;1296.36;1343.98;23.06;39.00
69.00;1329.60;1378.44;23.06;40.00
70.00;1263.12;1309.52;23.06;38.00
71.00;1296.36;1342.96;23.10;39.00
72.00;1296.36;1343.98;23.06;39.00
73.00;1263.12;1309.52;23.06;38.00
74.00;1296.36;1342.96;23.10;39.00
75.00;1296.36;1342.96;23.10;39.00
76.00;1296.36;1342.96;23.10;39.00
77.00;1296.36;1342.20;23.13;39.00
78.00;1263.12;1307.79;23.13;38.00
79.00;1296.36;1342.20;23.13;39.00
80.00;1263.12;1307.79;23.13;38.00
81.00;1296.36;1341.44;23.16;39.00
82.00;1296.36;1341.44;23.16;39.00
83.00;1296.36;1342.20;23.13;39.00
84.00;1296.36;1342.20;23.13;39.00
85.00;1296.36;1341.44;23.16;39.00
86.00;1263.12;1307.05;23.16;38.00
87.00;1263.12;1307.79;23.13;38.00
88.00;1263.12;1307.05;23.16;38.00
89.00;1329.60;1374.80;23.20;40.00
90.00;1296.36;1341.44;23.16;39.00
91.00;1296.36;1341.44;23.16;39.00
92.00;1296.36;1341.44;23.16;39.00
93.00;1263.12;1306.06;23.20;38.00
94.00;1263.12;1306.06;23.20;38.00
95.00;1263.12;1306.06;23.20;38.00
96.00;1263.12;1306.06;23.20;38.00
97.00;1263.12;1306.06;23.20;38.00
98.00;1296.36;1340.43;23.20;39.00
99.00;1296.36;1339.67;23.23;39.00
