# Température(°C);Conductivité(uS/cm);Conductivité de l'échantillon à 25°C (uS/cm);Conductivité méthode 2(uS/cm);Conductivité de l'échantillon à 25°C méthode 2 (uS/cm)
2.00;1512.42;1616.65;21.47;39.00
3.00;1551.20;1658.11;21.47;40.00
4.00;1473.64;1573.97;21.51;38.00
5.00;1512.42;1615.39;21.51;39.00
6.00;1473.64;1573.05;21.54;38.00
7.00;1512.42;1613.19;21.58;39.00
8.00;1512.42;1612.25;21.61;39.00
9.00;1512.42;1611.30;21.64;39.00
10.00;1512.42;1611.30;21.64;39.00
11.00;1512.42;1609.11;21.71;39.00
12.00;1512.42;1606.93;21.78;39.00
13.00;1473.64;2669.79;0.47;38.00
14.00;1473.64;1576.12;21.44;38.00
15.00;1512.42;1616.65;21.47;39.00
16.00;1551.20;1658.11;21.47;40.00
17.00;1473.64;1573.97;21.51;38.00
18.00;1512.42;1615.39;21.51;39.00
19.00;1473.64;1573.05;21.54;38.00
20.00;1512.42;1613.19;21.58;39.00
21.00;1512.42;1612.25;21.61;39.00
22.00;1512.42;1611.30;21.64;39.00
23.00;1512.42;1611.30;21.64;39.00
24.00;1512.42;1609.11;21.71;39.00
25.00;1512.42;1606.93;21.78;39.00
26.00;1512.42;1605.99;21.81;39.00
27.00;1473.64;1563.60;21.85;38.00
28.00;1512.42;1603.81;21.88;39.00
29.00;1473.64;1560.58;21.95;38.00
30.00;1512.42;1601.64;21.95;39.00
31.00;1512.42;1599.79;22.01;39.00
32.00;1473.64;1557.56;22.05;38.00
33.00;1512.42;1597.63;22.08;39.00
34.00;1512.42;1594.55;22.18;39.00
35.00;1473.64;1553.66;22.18;38.00
36.00;1512.42;1593.32;22.22;39.00
37.00;1512.42;1591.18;22.29;39.00
38.00;1512.42;1590.26;22.32;39.00
39.00;1512.42;1589.35;22.35;39.00
40.00;1512.42;1588.13;22.39;39.00
41.00;1512.42;1587.21;22.42;39.00
42.00;1512.42;1585.09;22.49;39.00
43.00;1473.64;1544.44;22.49;38.00
44.00;1512.42;1582.97;22.56;39.00
45.00;1512.42;1582.97;22.56;39.00
46.00;1512.42;1582.06;22.59;39.00
47.00;1512.42;1581.15;22.62;39.00
48.00;1512.42;1579.95;22.66;39.00
49.00;1473.64;1538.55;22.69;38.00
50.00;1589.98;1660.02;22.69;41.00
51.00;1512.42;1576.94;22.76;39.00
52.00;1512.42;1576.94;22.76;39.00
53.00;1512.42;1574.84;22.83;39.00
54.00;1512.42;1574.84;22.83;39.00
55.00;1512.42;1573.94;22.86;39.00
56.00;1512.42;1573.94;22.86;39.00
57.00;1551.20;1613.38;22.89;40.00
58.00;1512.42;1571.85;22.93;39.00
59.00;1512.42;1570.95;22.96;39.00
60.00;1512.42;1570.95;22.96;39.00
61.00;1473.64;1528.64;23.03;38.00
62.00;1473.64;1528.64;23.03;38.00
63.00;1512.42;1568.87;23.03;39.00
64.00;1551.20;1608.18;23.06;40.00
65.00;1473.64;1526.62;23.10;38.00
66.00;1512.42;1566.79;23.10;39.00
67.00;1512.42;1566.79;23.10;39.00
68.00;1512.42;1566.79;23.10;39.00
69.00;1512.42;1565.90;23.13;39.00
70.00;1473.64;1524.89;23.16;38.00
71.00;1512.42;1563.83;23.20;39.00
72.00;1473.64;1524.89;23.16;38.00
73.00;1512.42;1563.83;23.20;39.00
74.00;1512.42;1563.83;23.20;39.00
75.00;1473.64;1522.87;23.23;38.00
76.00;1512.42;1561.77;23.27;39.00
77.00;1512.42;1561.77;23.27;39.00
78.00;1473.64;1521.72;23.27;38.00
79.00;1473.64;1521.72;23.27;38.00
80.00;1473.64;1520.00;23.33;38.00
81.00;1551.20;1600.00;23.33;40.00
82.00;1512.42;1560.89;23.30;39.00
83.00;1473.64;1520.00;23.33;38.00
84.00;1512.42;1560.00;23.33;39.00
85.00;1512.42;1560.00;23.33;39.00
86.00;1512.42;1558.83;23.37;39.00
87.00;1473.64;1518.86;23.37;38.00
88.00;1512.42;1558.83;23.37;39.00
89.00;1512.42;1557.95;23.40;39.00
90.00;1473.64;1518.00;23.40;38.00
91.00;1512.42;1557.95;23.40;39.00
92.00;1473.64;1518.00;23.40;38.00
93.00;1512.42;1557.07;23.43;39.00
94.00;1512.42;1557.07;23.43;39.00
95.00;1473.64;1517.14;23.43;38.00
96.00;1512.42;1557.07;23.43;39.00
97.00;1473.64;1516.00;23.47;38.00
98.00;1512.42;1555.90;23.47;39.00
99.00;1473.64;1515.15;23.50;38.00
