# Étalon n°; Conductivité de la solution (us/cm);Conductivité de la solution à 25°C (uS/cm);Température de l'échantillon (°C);Tension mesurée par le conductimètre (V)
143.00;4829.23;5000.00;23.13;150.00
144.00;4829.23;5000.00;23.13;150.00
145.00;4831.97;5000.00;23.16;150.00
146.00;4829.23;5000.00;23.13;149.00
147.00;4831.97;5000.00;23.16;150.00
148.00;4829.23;5000.00;23.13;149.00
149.00;4831.97;5000.00;23.16;150.00
150.00;4829.23;5000.00;23.13;149.00
151.00;4831.97;5000.00;23.16;149.00
152.00;4829.23;5000.00;23.13;150.00
153.00;4831.97;5000.00;23.16;149.00
154.00;4831.97;5000.00;23.16;149.00
155.00;4829.23;5000.00;23.13;151.00
156.00;4831.97;5000.00;23.16;149.00
157.00;4831.97;5000.00;23.16;150.00
158.00;4831.97;5000.00;23.16;150.00
159.00;4831.97;5000.00;23.16;150.00
160.00;4829.23;5000.00;23.13;149.00
161.00;4831.97;5000.00;23.16;149.00
162.00;4829.23;5000.00;23.13;150.00
163.00;4831.97;5000.00;23.16;149.00
164.00;4829.23;5000.00;23.13;149.00
165.00;4831.97;5000.00;23.16;150.00
166.00;4829.23;5000.00;23.13;148.00
167.00;4831.97;5000.00;23.16;150.00
168.00;4831.97;5000.00;23.16;150.00
169.00;4829.23;5000.00;23.13;150.00
170.00;4831.97;5000.00;23.16;150.00
171.00;4831.97;5000.00;23.16;150.00
172.00;4831.97;5000.00;23.16;150.00
173.00;4831.97;5000.00;23.16;149.00
174.00;4829.23;5000.00;23.13;149.00
175.00;4831.97;5000.00;23.16;150.00
176.00;4831.97;5000.00;23.16;150.00
177.00;4829.23;5000.00;23.13;149.00
178.00;4831.97;5000.00;23.16;150.00
179.00;4831.97;5000.00;23.16;150.00
180.00;4831.97;5000.00;23.16;149.00
181.00;4831.97;5000.00;23.16;150.00
182.00;4835.62;5000.00;23.20;150.00
183.00;4831.97;5000.00;23.16;150.00
184.00;4831.97;5000.00;23.16;150.00
185.00;4831.97;5000.00;23.16;149.00
186.00;4831.97;5000.00;23.16;150.00
187.00;4831.97;5000.00;23.16;149.00
188.00;4831.97;5000.00;23.16;150.00
189.00;4831.97;5000.00;23.16;149.00
190.00;4831.97;5000.00;23.16;150.00
191.00;4831.97;5000.00;23.16;151.00
192.00;4831.97;5000.00;23.16;151.00
193.00;4831.97;5000.00;23.16;149.00
194.00;4829.23;5000.00;23.13;150.00
195.00;4831.97;5000.00;23.16;150.00
196.00;4831.97;5000.00;23.16;149.00
197.00;4831.97;5000.00;23.16;151.00
198.00;4835.62;5000.00;23.20;150.00
199.00;4831.97;5000.00;23.16;150.00
200.00;4831.97;5000.00;23.16;151.00
