# Étalon n°; Conductivité de la solution (us/cm);Conductivité de la solution à 25°C (uS/cm);Température de l'échantillon (°C);Tension mesurée par le conductimètre (V)
1.00;11804.91;12880.00;20.43;275.00
3.00;11971.94;12880.00;21.14;277.00
4.00;11986.06;12880.00;21.20;279.00
5.00;11995.47;12880.00;21.24;279.00
6.00;12002.52;12880.00;21.27;277.00
7.00;12011.93;12880.00;21.31;281.00
8.00;12026.05;12880.00;21.37;279.00
9.00;12026.05;12880.00;21.37;278.00
10.00;6998.78;12880.00;0.00;279.00
11.00;11946.06;12880.00;21.03;280.00
12.00;11955.47;12880.00;21.07;277.00
13.00;11955.47;12880.00;21.07;279.00
14.00;11962.53;12880.00;21.10;278.00
15.00;11971.94;12880.00;21.14;277.00
16.00;11986.06;12880.00;21.20;279.00
17.00;11995.47;12880.00;21.24;279.00
18.00;12002.52;12880.00;21.27;277.00
19.00;12011.93;12880.00;21.31;281.00
20.00;12026.05;12880.00;21.37;279.00
21.00;12026.05;12880.00;21.37;278.00
22.00;12049.57;12880.00;21.47;280.00
23.00;12049.57;12880.00;21.47;279.00
24.00;12066.04;12880.00;21.54;278.00
25.00;12075.45;12880.00;21.58;279.00
26.00;12082.51;12880.00;21.61;279.00
27.00;12089.56;12880.00;21.64;279.00
28.00;12106.03;12880.00;21.71;280.00
29.00;12113.09;12880.00;21.74;280.00
30.00;12113.09;12880.00;21.74;279.00
31.00;12122.50;12880.00;21.78;280.00
32.00;12138.97;12880.00;21.85;278.00
33.00;12138.97;12880.00;21.85;280.00
34.00;12153.08;12880.00;21.91;279.00
35.00;12153.08;12880.00;21.91;278.00
36.00;12162.49;12880.00;21.95;279.00
37.00;12169.55;12880.00;21.98;279.00
38.00;12176.61;12880.00;22.01;278.00
39.00;12186.02;12880.00;22.05;280.00
40.00;12186.02;12880.00;22.05;279.00
41.00;12202.48;12880.00;22.12;278.00
42.00;12202.48;12880.00;22.12;280.00
43.00;12209.54;12880.00;22.15;279.00
44.00;12209.54;12880.00;22.15;280.00
45.00;12216.60;12880.00;22.18;280.00
46.00;12226.01;12880.00;22.22;279.00
47.00;12233.07;12880.00;22.25;280.00
48.00;12242.48;12880.00;22.29;279.00
