# Étalon n°; Conductivité de la solution (us/cm);Conductivité de la solution à 25°C (uS/cm);Température de l'échantillon (°C);Tension mesurée par le conductimètre (V)
1.00;95963.51;100000.00;22.79;242.00
2.00;95963.51;100000.00;22.79;242.00
3.00;95963.51;100000.00;22.79;242.00
4.00;96036.57;100000.00;22.83;240.00
5.00;95963.51;100000.00;22.79;241.00
6.00;95963.51;100000.00;22.79;241.00
7.00;95963.51;100000.00;22.79;241.00
8.00;95963.51;100000.00;22.79;241.00
9.00;95963.51;100000.00;22.79;241.00
10.00;95963.51;100000.00;22.79;241.00
11.00;95963.51;100000.00;22.79;240.00
12.00;95963.51;100000.00;22.79;241.00
13.00;95963.51;100000.00;22.79;240.00
14.00;95963.51;100000.00;22.79;240.00
15.00;95908.72;100000.00;22.76;240.00
16.00;95963.51;100000.00;22.79;240.00
17.00;95963.51;100000.00;22.79;241.00
18.00;95963.51;100000.00;22.79;240.00
19.00;95963.51;100000.00;22.79;240.00
20.00;95963.51;100000.00;22.79;241.00
21.00;95963.51;100000.00;22.79;240.00
22.00;95963.51;100000.00;22.79;240.00
23.00;95908.72;100000.00;22.76;241.00
24.00;95963.51;100000.00;22.79;240.00
25.00;95963.51;100000.00;22.79;241.00
26.00;95963.51;100000.00;22.79;241.00
27.00;95963.51;100000.00;22.79;241.00
28.00;95963.51;100000.00;22.79;240.00
29.00;95963.51;100000.00;22.79;240.00
30.00;95963.51;100000.00;22.79;240.00
31.00;95963.51;100000.00;22.79;242.00
32.00;95963.51;100000.00;22.79;240.00
33.00;95908.72;100000.00;22.76;241.00
34.00;95963.51;100000.00;22.79;241.00
35.00;95963.51;100000.00;22.79;240.00
36.00;95963.51;100000.00;22.79;241.00
37.00;95963.51;100000.00;22.79;242.00
38.00;95963.51;100000.00;22.79;241.00
39.00;95963.51;100000.00;22.79;241.00
40.00;95963.51;100000.00;22.79;241.00
41.00;95963.51;100000.00;22.79;243.00
42.00;95963.51;100000.00;22.79;241.00
43.00;95963.51;100000.00;22.79;241.00
44.00;95963.51;100000.00;22.79;242.00
45.00;95908.72;100000.00;22.76;240.00
46.00;95963.51;100000.00;22.79;241.00
47.00;95908.72;100000.00;22.76;240.00
48.00;95963.51;100000.00;22.79;241.00
49.00;95963.51;100000.00;22.79;241.00
50.00;95963.51;100000.00;22.79;241.00
51.00;95908.72;100000.00;22.76;240.00
52.00;95963.51;100000.00;22.79;240.00
53.00;95963.51;100000.00;22.79;241.00
54.00;95963.51;100000.00;22.79;241.00
55.00;95963.51;100000.00;22.79;240.00
56.00;95963.51;100000.00;22.79;240.00
57.00;95963.51;100000.00;22.79;241.00
58.00;95963.51;100000.00;22.79;240.00
59.00;95963.51;100000.00;22.79;242.00
60.00;95963.51;100000.00;22.79;241.00
61.00;95963.51;100000.00;22.79;240.00
62.00;95963.51;100000.00;22.79;241.00
63.00;95963.51;100000.00;22.79;240.00
64.00;95908.72;100000.00;22.76;241.00
65.00;95963.51;100000.00;22.79;240.00
66.00;95963.51;100000.00;22.79;242.00
67.00;95963.51;100000.00;22.79;242.00
68.00;95963.51;100000.00;22.79;240.00
69.00;95963.51;100000.00;22.79;240.00
70.00;95908.72;100000.00;22.76;242.00
71.00;95963.51;100000.00;22.79;241.00
72.00;96036.57;100000.00;22.83;240.00
73.00;95963.51;100000.00;22.79;240.00
74.00;95963.51;100000.00;22.79;240.00
75.00;96036.57;100000.00;22.83;242.00
76.00;95963.51;100000.00;22.79;242.00
77.00;95908.72;100000.00;22.76;240.00
78.00;95908.72;100000.00;22.76;240.00
79.00;95963.51;100000.00;22.79;242.00
80.00;95963.51;100000.00;22.79;240.00
81.00;95963.51;100000.00;22.79;240.00
82.00;95963.51;100000.00;22.79;243.00
83.00;95908.72;100000.00;22.76;240.00
84.00;95908.72;100000.00;22.76;240.00
85.00;95963.51;100000.00;22.79;240.00
86.00;95963.51;100000.00;22.79;240.00
87.00;95963.51;100000.00;22.79;243.00
88.00;95963.51;100000.00;22.79;241.00
89.00;95963.51;100000.00;22.79;240.00
90.00;95963.51;100000.00;22.79;241.00
91.00;95963.51;100000.00;22.79;241.00
92.00;95963.51;100000.00;22.79;240.00
93.00;95963.51;100000.00;22.79;241.00
94.00;95963.51;100000.00;22.79;240.00
95.00;95963.51;100000.00;22.79;242.00
96.00;95963.51;100000.00;22.79;241.00
97.00;95963.51;100000.00;22.79;240.00
98.00;95963.51;100000.00;22.79;240.00
99.00;95963.51;100000.00;22.79;240.00
100.00;96036.57;100000.00;22.83;242.00
101.00;95963.51;100000.00;22.79;241.00
102.00;95963.51;100000.00;22.79;240.00
103.00;95963.51;100000.00;22.79;240.00
104.00;95963.51;100000.00;22.79;243.00
105.00;95963.51;100000.00;22.79;240.00
106.00;95908.72;100000.00;22.76;240.00
107.00;95963.51;100000.00;22.79;240.00
108.00;95963.51;100000.00;22.79;240.00
109.00;95908.72;100000.00;22.76;240.00
110.00;95963.51;100000.00;22.79;240.00
111.00;95963.51;100000.00;22.79;240.00
112.00;95963.51;100000.00;22.79;240.00
113.00;95963.51;100000.00;22.79;242.00
114.00;95908.72;100000.00;22.76;240.00
115.00;95963.51;100000.00;22.79;240.00
116.00;95963.51;100000.00;22.79;241.00
117.00;95963.51;100000.00;22.79;241.00
118.00;95963.51;100000.00;22.79;240.00
119.00;95963.51;100000.00;22.79;241.00
120.00;95963.51;100000.00;22.79;241.00
121.00;95963.51;100000.00;22.79;241.00
122.00;95963.51;100000.00;22.79;241.00
123.00;95963.51;100000.00;22.79;242.00
124.00;95963.51;100000.00;22.79;241.00
125.00;95963.51;100000.00;22.79;241.00
126.00;95963.51;100000.00;22.79;240.00
127.00;95963.51;100000.00;22.79;240.00
128.00;95908.72;100000.00;22.76;242.00
129.00;95963.51;100000.00;22.79;240.00
130.00;95963.51;100000.00;22.79;242.00
