# Étalon n°; Conductivité de la solution (us/cm);Conductivité de la solution à 25°C (uS/cm);Température de l'échantillon (°C);Tension mesurée par le conductimètre (V)
1.00;95908.72;100000.00;22.76;245.00
2.00;95908.72;100000.00;22.76;244.00
3.00;95963.51;100000.00;22.79;245.00
4.00;95963.51;100000.00;22.79;243.00
5.00;95908.72;100000.00;22.76;244.00
6.00;95963.51;100000.00;22.79;245.00
7.00;95908.72;100000.00;22.76;243.00
8.00;95963.51;100000.00;22.79;244.00
9.00;95908.72;100000.00;22.76;243.00
10.00;95963.51;100000.00;22.79;243.00
11.00;95908.72;100000.00;22.76;243.00
12.00;95908.72;100000.00;22.76;243.00
13.00;95835.66;100000.00;22.72;244.00
14.00;95908.72;100000.00;22.76;243.00
15.00;95908.72;100000.00;22.76;245.00
16.00;95908.72;100000.00;22.76;244.00
17.00;95908.72;100000.00;22.76;244.00
18.00;95908.72;100000.00;22.76;243.00
19.00;95963.51;100000.00;22.79;245.00
20.00;95908.72;100000.00;22.76;243.00
21.00;95908.72;100000.00;22.76;244.00
22.00;95963.51;100000.00;22.79;243.00
23.00;95908.72;100000.00;22.76;245.00
24.00;95963.51;100000.00;22.79;243.00
25.00;95908.72;100000.00;22.76;243.00
26.00;95963.51;100000.00;22.79;244.00
27.00;95908.72;100000.00;22.76;245.00
28.00;95908.72;100000.00;22.76;243.00
29.00;95963.51;100000.00;22.79;244.00
30.00;95963.51;100000.00;22.79;245.00
31.00;95963.51;100000.00;22.79;243.00
32.00;95908.72;100000.00;22.76;245.00
33.00;95963.51;100000.00;22.79;243.00
34.00;95908.72;100000.00;22.76;243.00
35.00;95908.72;100000.00;22.76;245.00
36.00;95908.72;100000.00;22.76;245.00
37.00;95908.72;100000.00;22.76;246.00
38.00;95963.51;100000.00;22.79;244.00
39.00;95963.51;100000.00;22.79;244.00
40.00;95908.72;100000.00;22.76;243.00
41.00;95963.51;100000.00;22.79;244.00
42.00;95908.72;100000.00;22.76;243.00
43.00;95963.51;100000.00;22.79;243.00
44.00;95908.72;100000.00;22.76;243.00
45.00;95908.72;100000.00;22.76;245.00
46.00;95908.72;100000.00;22.76;245.00
47.00;95908.72;100000.00;22.76;243.00
48.00;95963.51;100000.00;22.79;245.00
49.00;95908.72;100000.00;22.76;244.00
50.00;95908.72;100000.00;22.76;244.00
51.00;95908.72;100000.00;22.76;244.00
52.00;95908.72;100000.00;22.76;243.00
53.00;95908.72;100000.00;22.76;245.00
54.00;95908.72;100000.00;22.76;243.00
55.00;95963.51;100000.00;22.79;243.00
56.00;95908.72;100000.00;22.76;243.00
57.00;95908.72;100000.00;22.76;245.00
58.00;95963.51;100000.00;22.79;243.00
59.00;95908.72;100000.00;22.76;244.00
60.00;95963.51;100000.00;22.79;245.00
61.00;95908.72;100000.00;22.76;243.00
62.00;95908.72;100000.00;22.76;245.00
63.00;95908.72;100000.00;22.76;243.00
64.00;95963.51;100000.00;22.79;244.00
65.00;95908.72;100000.00;22.76;245.00
66.00;95963.51;100000.00;22.79;243.00
67.00;95963.51;100000.00;22.79;243.00
68.00;95963.51;100000.00;22.79;243.00
69.00;95908.72;100000.00;22.76;243.00
70.00;95908.72;100000.00;22.76;244.00
71.00;95963.51;100000.00;22.79;243.00
72.00;95908.72;100000.00;22.76;243.00
73.00;95963.51;100000.00;22.79;244.00
74.00;95908.72;100000.00;22.76;243.00
75.00;95908.72;100000.00;22.76;243.00
76.00;95963.51;100000.00;22.79;243.00
