# Étalon n°;Température de l'échantillon (°C);Tension mesurée par le conductimètre (V);Tension à 25°C (V); Conductivité de la solution (us/cm);Conductivité de la solution à 25°C (uS/cm)
1.00;23.22;0.14;0.14;1367.02;1413.00
2.00;22.76;0.31;0.32;4795.36;5000.00
3.00;22.50;0.38;0.40;12291.83;12880.00
