# Étalon n°;Température de l'échantillon (°C);Tension mesurée par le conductimètre (V);Tension à 25°C (V); Conductivité de la solution (us/cm);Conductivité de la solution à 25°C (uS/cm)
1.00;24.16;0.28;-0.01;4923.40;5000.00
2.00;21.18;0.13;-0.01;1314.39;1413.00
3.00;23.85;0.41;-0.02;12608.98;12880.00
