# Etalon;Conductivite;Conductivite_25;Temperature;Tension
1.00;4798.18;5000.00;22.79;123.00
2.00;4798.18;5000.00;22.79;123.00
3.00;4804.57;5000.00;22.86;123.00
4.00;4804.57;5000.00;22.86;123.00
5.00;4807.31;5000.00;22.89;123.00
6.00;4807.31;5000.00;22.89;121.00
7.00;4810.96;5000.00;22.93;123.00
8.00;4807.31;5000.00;22.89;123.00
9.00;4810.96;5000.00;22.93;122.00
10.00;4810.96;5000.00;22.93;123.00
11.00;4813.70;5000.00;22.96;123.00
12.00;4813.70;5000.00;22.96;122.00
13.00;4817.35;5000.00;23.00;122.00
14.00;4817.35;5000.00;23.00;124.00
15.00;4817.35;5000.00;23.00;123.00
16.00;4817.35;5000.00;23.00;122.00
17.00;4820.09;5000.00;23.03;122.00
18.00;4820.09;5000.00;23.03;122.00
19.00;4820.09;5000.00;23.03;122.00
20.00;4822.83;5000.00;23.06;122.00
21.00;4822.83;5000.00;23.06;123.00
22.00;4822.83;5000.00;23.06;123.00
23.00;4826.49;5000.00;23.10;122.00
24.00;4826.49;5000.00;23.10;123.00
25.00;4829.23;5000.00;23.13;124.00
26.00;4826.49;5000.00;23.10;122.00
27.00;4826.49;5000.00;23.10;122.00
28.00;4829.23;5000.00;23.13;123.00
29.00;4831.97;5000.00;23.16;122.00
30.00;4829.23;5000.00;23.13;123.00
31.00;4831.97;5000.00;23.16;123.00
32.00;4831.97;5000.00;23.16;124.00
33.00;4831.97;5000.00;23.16;123.00
34.00;4831.97;5000.00;23.16;122.00
35.00;4831.97;5000.00;23.16;123.00
36.00;4835.62;5000.00;23.20;122.00
37.00;4831.97;5000.00;23.16;123.00
38.00;4835.62;5000.00;23.20;123.00
39.00;4838.36;5000.00;23.23;124.00
40.00;4838.36;5000.00;23.23;124.00
41.00;4838.36;5000.00;23.23;124.00
42.00;4838.36;5000.00;23.23;123.00
43.00;4835.62;5000.00;23.20;122.00
44.00;4835.62;5000.00;23.20;121.00
45.00;4842.01;5000.00;23.27;123.00
46.00;4842.01;5000.00;23.27;123.00
47.00;4838.36;5000.00;23.23;123.00
48.00;4844.75;5000.00;23.30;123.00
49.00;4842.01;5000.00;23.27;123.00
50.00;4842.01;5000.00;23.27;122.00
51.00;4842.01;5000.00;23.27;123.00
52.00;4842.01;5000.00;23.27;124.00
53.00;4842.01;5000.00;23.27;122.00
54.00;4842.01;5000.00;23.27;124.00
55.00;4842.01;5000.00;23.27;124.00
56.00;4844.75;5000.00;23.30;125.00
57.00;4842.01;5000.00;23.27;125.00
58.00;4844.75;5000.00;23.30;124.00
59.00;4847.49;5000.00;23.33;125.00
60.00;4847.49;5000.00;23.33;124.00
61.00;4844.75;5000.00;23.30;123.00
62.00;4844.75;5000.00;23.30;124.00
63.00;4844.75;5000.00;23.30;124.00
64.00;4844.75;5000.00;23.30;124.00
65.00;4844.75;5000.00;23.30;123.00
66.00;4844.75;5000.00;23.30;123.00
67.00;4844.75;5000.00;23.30;124.00
68.00;4847.49;5000.00;23.33;123.00
69.00;4847.49;5000.00;23.33;124.00
70.00;4847.49;5000.00;23.33;125.00
71.00;4847.49;5000.00;23.33;123.00
72.00;4847.49;5000.00;23.33;125.00
73.00;4847.49;5000.00;23.33;125.00
74.00;4851.14;5000.00;23.37;123.00
75.00;4847.49;5000.00;23.33;125.00
76.00;4847.49;5000.00;23.33;124.00
77.00;4851.14;5000.00;23.37;124.00
78.00;4847.49;5000.00;23.33;126.00
79.00;4847.49;5000.00;23.33;124.00
80.00;4851.14;5000.00;23.37;124.00
81.00;4851.14;5000.00;23.37;124.00
82.00;4851.14;5000.00;23.37;124.00
83.00;4847.49;5000.00;23.33;124.00
84.00;4851.14;5000.00;23.37;125.00
85.00;4851.14;5000.00;23.37;124.00
86.00;4851.14;5000.00;23.37;123.00
87.00;4851.14;5000.00;23.37;124.00
88.00;4851.14;5000.00;23.37;125.00
89.00;4851.14;5000.00;23.37;124.00
90.00;4853.88;5000.00;23.40;124.00
91.00;4847.49;5000.00;23.33;124.00
92.00;4853.88;5000.00;23.40;125.00
93.00;4853.88;5000.00;23.40;125.00
94.00;4853.88;5000.00;23.40;124.00
95.00;4851.14;5000.00;23.37;126.00
96.00;4853.88;5000.00;23.40;125.00
97.00;4851.14;5000.00;23.37;124.00
98.00;4851.14;5000.00;23.37;125.00
99.00;4853.88;5000.00;23.40;123.00
100.00;4856.62;5000.00;23.43;124.00
101.00;4853.88;5000.00;23.40;125.00
102.00;4853.88;5000.00;23.40;125.00
103.00;4851.14;5000.00;23.37;124.00
104.00;4853.88;5000.00;23.40;124.00
105.00;4853.88;5000.00;23.40;125.00
106.00;4853.88;5000.00;23.40;125.00
107.00;4853.88;5000.00;23.40;125.00
108.00;4853.88;5000.00;23.40;124.00
109.00;4853.88;5000.00;23.40;126.00
110.00;4856.62;5000.00;23.43;127.00
111.00;4851.14;5000.00;23.37;125.00
112.00;4853.88;5000.00;23.40;125.00
113.00;4853.88;5000.00;23.40;125.00
114.00;4853.88;5000.00;23.40;125.00
115.00;4853.88;5000.00;23.40;126.00
116.00;4853.88;5000.00;23.40;124.00
117.00;4853.88;5000.00;23.40;124.00
118.00;4853.88;5000.00;23.40;125.00
119.00;4853.88;5000.00;23.40;127.00
120.00;4853.88;5000.00;23.40;125.00
121.00;4856.62;5000.00;23.43;125.00
122.00;4856.62;5000.00;23.43;125.00
123.00;4856.62;5000.00;23.43;125.00
124.00;4856.62;5000.00;23.43;124.00
125.00;4853.88;5000.00;23.40;125.00
126.00;4856.62;5000.00;23.43;124.00
127.00;4856.62;5000.00;23.43;123.00
128.00;4856.62;5000.00;23.43;125.00
129.00;4856.62;5000.00;23.43;126.00
130.00;4856.62;5000.00;23.43;125.00
131.00;4856.62;5000.00;23.43;125.00
132.00;4860.28;5000.00;23.47;125.00
133.00;4856.62;5000.00;23.43;124.00
134.00;4856.62;5000.00;23.43;125.00
135.00;4856.62;5000.00;23.43;124.00
136.00;4856.62;5000.00;23.43;124.00
137.00;4856.62;5000.00;23.43;126.00
138.00;4856.62;5000.00;23.43;125.00
139.00;4856.62;5000.00;23.43;125.00
140.00;4856.62;5000.00;23.43;125.00
141.00;4860.28;5000.00;23.47;125.00
142.00;4856.62;5000.00;23.43;124.00
143.00;4856.62;5000.00;23.43;125.00
144.00;4856.62;5000.00;23.43;125.00
145.00;4856.62;5000.00;23.43;125.00
