# Etalon;Conductivite;Conductivite_25;Temperature;Tension
146.00;4856.62;5000.00;23.43;126.00
147.00;4856.62;5000.00;23.43;125.00
148.00;4856.62;5000.00;23.43;124.00
149.00;4856.62;5000.00;23.43;126.00
150.00;4853.88;5000.00;23.40;125.00
151.00;4856.62;5000.00;23.43;124.00
152.00;4856.62;5000.00;23.43;125.00
153.00;4856.62;5000.00;23.43;125.00
154.00;4856.62;5000.00;23.43;125.00
155.00;4856.62;5000.00;23.43;125.00
156.00;4856.62;5000.00;23.43;124.00
157.00;4856.62;5000.00;23.43;124.00
158.00;4860.28;5000.00;23.47;125.00
159.00;4856.62;5000.00;23.43;124.00
160.00;4856.62;5000.00;23.43;125.00
161.00;4860.28;5000.00;23.47;125.00
162.00;4860.28;5000.00;23.47;124.00
163.00;4860.28;5000.00;23.47;124.00
164.00;4860.28;5000.00;23.47;125.00
165.00;4856.62;5000.00;23.43;125.00
166.00;4856.62;5000.00;23.43;125.00
167.00;4856.62;5000.00;23.43;125.00
168.00;4860.28;5000.00;23.47;125.00
169.00;4856.62;5000.00;23.43;125.00
170.00;4860.28;5000.00;23.47;125.00
171.00;4856.62;5000.00;23.43;124.00
172.00;4856.62;5000.00;23.43;125.00
173.00;4856.62;5000.00;23.43;125.00
174.00;4856.62;5000.00;23.43;124.00
175.00;4856.62;5000.00;23.43;124.00
176.00;4856.62;5000.00;23.43;124.00
177.00;4860.28;5000.00;23.47;124.00
178.00;4860.28;5000.00;23.47;125.00
179.00;4860.28;5000.00;23.47;125.00
180.00;4860.28;5000.00;23.47;125.00
181.00;4860.28;5000.00;23.47;124.00
182.00;4856.62;5000.00;23.43;126.00
183.00;4860.28;5000.00;23.47;124.00
184.00;4863.02;5000.00;23.50;125.00
185.00;4860.28;5000.00;23.47;125.00
186.00;4856.62;5000.00;23.43;123.00
187.00;4860.28;5000.00;23.47;125.00
188.00;4860.28;5000.00;23.47;124.00
189.00;4856.62;5000.00;23.43;123.00
190.00;4856.62;5000.00;23.43;124.00
191.00;4860.28;5000.00;23.47;124.00
192.00;4860.28;5000.00;23.47;124.00
193.00;4860.28;5000.00;23.47;124.00
194.00;4860.28;5000.00;23.47;126.00
195.00;4856.62;5000.00;23.43;124.00
196.00;4860.28;5000.00;23.47;125.00
197.00;4860.28;5000.00;23.47;126.00
198.00;4856.62;5000.00;23.43;124.00
199.00;4860.28;5000.00;23.47;125.00
200.00;4860.28;5000.00;23.47;124.00
