# Étalon n°; Conductivité de la solution (us/cm);Conductivité de la solution à 25°C (uS/cm);Température de l'échantillon (°C);Tension mesurée par le conductimètre (V)
2.00;2801.85;5000.00;0.93;146.00
3.00;4810.96;5000.00;22.93;146.00
4.00;4813.70;5000.00;22.96;146.00
5.00;4813.70;5000.00;22.96;146.00
6.00;4813.70;5000.00;22.96;146.00
7.00;4817.35;5000.00;23.00;146.00
8.00;4817.35;5000.00;23.00;146.00
9.00;4817.35;5000.00;23.00;145.00
10.00;4817.35;5000.00;23.00;146.00
11.00;4820.09;5000.00;23.03;146.00
12.00;4822.83;5000.00;23.06;146.00
13.00;4820.09;5000.00;23.03;147.00
14.00;4820.09;5000.00;23.03;146.00
15.00;4822.83;5000.00;23.06;146.00
16.00;4826.49;5000.00;23.10;146.00
17.00;4826.49;5000.00;23.10;147.00
18.00;4826.49;5000.00;23.10;146.00
19.00;4829.23;5000.00;23.13;145.00
20.00;4829.23;5000.00;23.13;147.00
21.00;4829.23;5000.00;23.13;146.00
22.00;4829.23;5000.00;23.13;146.00
23.00;4831.97;5000.00;23.16;146.00
24.00;4829.23;5000.00;23.13;146.00
25.00;4831.97;5000.00;23.16;146.00
26.00;4831.97;5000.00;23.16;146.00
27.00;4831.97;5000.00;23.16;146.00
28.00;4831.97;5000.00;23.16;146.00
29.00;4831.97;5000.00;23.16;146.00
30.00;4835.62;5000.00;23.20;146.00
31.00;4835.62;5000.00;23.20;146.00
32.00;4831.97;5000.00;23.16;147.00
33.00;4835.62;5000.00;23.20;145.00
34.00;4835.62;5000.00;23.20;145.00
35.00;4835.62;5000.00;23.20;147.00
36.00;4838.36;5000.00;23.23;146.00
37.00;4835.62;5000.00;23.20;146.00
38.00;4838.36;5000.00;23.23;146.00
39.00;4838.36;5000.00;23.23;146.00
40.00;4838.36;5000.00;23.23;146.00
41.00;4838.36;5000.00;23.23;146.00
42.00;4838.36;5000.00;23.23;146.00
43.00;4838.36;5000.00;23.23;146.00
44.00;4838.36;5000.00;23.23;146.00
