# Étalon n°; Conductivité de la solution (us/cm);Conductivité de la solution à 25°C (uS/cm);Température de l'échantillon (°C);Tension mesurée par le conductimètre (V)
2.00;47397.29;50000.00;22.15;169.00
3.00;47397.29;50000.00;22.15;169.00
4.00;47424.68;50000.00;22.18;170.00
5.00;34475.05;50000.00;8.00;169.00
6.00;47214.64;50000.00;21.95;169.00
7.00;47214.64;50000.00;21.95;171.00
8.00;47242.04;50000.00;21.98;169.00
9.00;47269.44;50000.00;22.01;169.00
10.00;47305.96;50000.00;22.05;169.00
11.00;47305.96;50000.00;22.05;170.00
12.00;47369.89;50000.00;22.12;169.00
13.00;47369.89;50000.00;22.12;169.00
14.00;47397.29;50000.00;22.15;169.00
15.00;47397.29;50000.00;22.15;169.00
16.00;47424.68;50000.00;22.18;170.00
17.00;34475.05;50000.00;8.00;169.00
18.00;47214.64;50000.00;21.95;169.00
19.00;47214.64;50000.00;21.95;171.00
20.00;47242.04;50000.00;21.98;169.00
21.00;47269.44;50000.00;22.01;169.00
22.00;47305.96;50000.00;22.05;169.00
23.00;47305.96;50000.00;22.05;170.00
24.00;47369.89;50000.00;22.12;169.00
25.00;47369.89;50000.00;22.12;169.00
26.00;47397.29;50000.00;22.15;169.00
27.00;47397.29;50000.00;22.15;169.00
28.00;47424.68;50000.00;22.18;170.00
29.00;47424.68;50000.00;22.18;169.00
30.00;47461.21;50000.00;22.22;170.00
31.00;47461.21;50000.00;22.22;169.00
32.00;47488.61;50000.00;22.25;169.00
33.00;47488.61;50000.00;22.25;169.00
34.00;47525.14;50000.00;22.29;171.00
35.00;47525.14;50000.00;22.29;169.00
36.00;47552.54;50000.00;22.32;169.00
37.00;47579.93;50000.00;22.35;169.00
38.00;47579.93;50000.00;22.35;170.00
39.00;47579.93;50000.00;22.35;169.00
40.00;47616.46;50000.00;22.39;170.00
41.00;47643.86;50000.00;22.42;170.00
42.00;47643.86;50000.00;22.42;170.00
43.00;47643.86;50000.00;22.42;171.00
44.00;47671.26;50000.00;22.45;170.00
45.00;47707.79;50000.00;22.49;170.00
46.00;47671.26;50000.00;22.45;169.00
47.00;47707.79;50000.00;22.49;169.00
48.00;47707.79;50000.00;22.49;171.00
49.00;47735.18;50000.00;22.52;169.00
50.00;47735.18;50000.00;22.52;170.00
51.00;47771.71;50000.00;22.56;170.00
52.00;47735.18;50000.00;22.52;169.00
53.00;47799.11;50000.00;22.59;169.00
54.00;47799.11;50000.00;22.59;169.00
55.00;47799.11;50000.00;22.59;169.00
56.00;47826.51;50000.00;22.62;169.00
57.00;47799.11;50000.00;22.59;171.00
58.00;47826.51;50000.00;22.62;169.00
59.00;47826.51;50000.00;22.62;169.00
60.00;47863.04;50000.00;22.66;170.00
61.00;47863.04;50000.00;22.66;170.00
62.00;47863.04;50000.00;22.66;170.00
63.00;47890.43;50000.00;22.69;171.00
64.00;47890.43;50000.00;22.69;169.00
65.00;47890.43;50000.00;22.69;169.00
66.00;47917.83;50000.00;22.72;169.00
67.00;47917.83;50000.00;22.72;170.00
68.00;47917.83;50000.00;22.72;169.00
69.00;47917.83;50000.00;22.72;169.00
70.00;47917.83;50000.00;22.72;169.00
71.00;47954.36;50000.00;22.76;170.00
72.00;47954.36;50000.00;22.76;169.00
73.00;47954.36;50000.00;22.76;169.00
74.00;47954.36;50000.00;22.76;169.00
75.00;47981.76;50000.00;22.79;169.00
76.00;47981.76;50000.00;22.79;168.00
77.00;47981.76;50000.00;22.79;169.00
78.00;47981.76;50000.00;22.79;169.00
79.00;48018.29;50000.00;22.83;169.00
80.00;48018.29;50000.00;22.83;169.00
81.00;48018.29;50000.00;22.83;171.00
82.00;48018.29;50000.00;22.83;168.00
83.00;48018.29;50000.00;22.83;170.00
84.00;48045.68;50000.00;22.86;169.00
85.00;48073.08;50000.00;22.89;169.00
86.00;48045.68;50000.00;22.86;170.00
