# Étalon n°;Température de l'échantillon (°C);Tension mesurée par le conductimètre (V);Tension à 25°C (V); Conductivité de la solution (us/cm);Conductivité de la solution à 25°C (uS/cm)
1.00;22.92;0.13;0.14;1359.33;1413.00
2.00;22.31;0.42;0.44;12246.32;12880.00
