# Étalon n°; Conductivité de la solution (us/cm);Conductivité de la solution à 25°C (uS/cm);Température de l'échantillon (°C);Tension mesurée par le conductimètre (V)
1.00;12440.09;12880.00;23.13;291.00
2.00;12440.09;12880.00;23.13;289.00
3.00;12440.09;12880.00;23.13;291.00
4.00;12440.09;12880.00;23.13;289.00
5.00;12440.09;12880.00;23.13;292.00
6.00;12440.09;12880.00;23.13;290.00
7.00;12440.09;12880.00;23.13;291.00
8.00;12440.09;12880.00;23.13;290.00
9.00;12440.09;12880.00;23.13;290.00
10.00;12440.09;12880.00;23.13;290.00
11.00;12440.09;12880.00;23.13;290.00
12.00;12447.14;12880.00;23.16;291.00
13.00;12440.09;12880.00;23.13;289.00
14.00;12433.03;12880.00;23.10;292.00
15.00;12440.09;12880.00;23.13;289.00
16.00;12440.09;12880.00;23.13;291.00
17.00;12440.09;12880.00;23.13;291.00
18.00;12440.09;12880.00;23.13;290.00
19.00;12440.09;12880.00;23.13;291.00
20.00;12440.09;12880.00;23.13;289.00
21.00;12433.03;12880.00;23.10;293.00
22.00;12440.09;12880.00;23.13;289.00
23.00;12440.09;12880.00;23.13;290.00
24.00;12440.09;12880.00;23.13;289.00
25.00;12440.09;12880.00;23.13;291.00
26.00;12440.09;12880.00;23.13;291.00
27.00;12433.03;12880.00;23.10;290.00
28.00;12433.03;12880.00;23.10;291.00
29.00;12440.09;12880.00;23.13;288.00
30.00;12433.03;12880.00;23.10;292.00
31.00;12440.09;12880.00;23.13;289.00
32.00;12440.09;12880.00;23.13;290.00
33.00;12440.09;12880.00;23.13;292.00
34.00;12440.09;12880.00;23.13;291.00
35.00;12440.09;12880.00;23.13;292.00
36.00;12440.09;12880.00;23.13;291.00
37.00;12440.09;12880.00;23.13;291.00
38.00;12440.09;12880.00;23.13;289.00
39.00;12440.09;12880.00;23.13;290.00
40.00;12440.09;12880.00;23.13;290.00
41.00;12440.09;12880.00;23.13;291.00
42.00;12440.09;12880.00;23.13;290.00
43.00;12440.09;12880.00;23.13;292.00
44.00;12440.09;12880.00;23.13;291.00
45.00;12440.09;12880.00;23.13;291.00
46.00;12440.09;12880.00;23.13;290.00
47.00;12440.09;12880.00;23.13;289.00
48.00;12433.03;12880.00;23.10;290.00
49.00;12440.09;12880.00;23.13;290.00
50.00;12440.09;12880.00;23.13;291.00
51.00;12440.09;12880.00;23.13;290.00
52.00;12440.09;12880.00;23.13;290.00
53.00;12433.03;12880.00;23.10;291.00
54.00;12440.09;12880.00;23.13;288.00
55.00;12433.03;12880.00;23.10;290.00
56.00;12440.09;12880.00;23.13;290.00
57.00;12440.09;12880.00;23.13;291.00
58.00;12440.09;12880.00;23.13;291.00
59.00;12440.09;12880.00;23.13;290.00
60.00;12433.03;12880.00;23.10;290.00
61.00;12440.09;12880.00;23.13;290.00
62.00;12433.03;12880.00;23.10;291.00
63.00;12440.09;12880.00;23.13;291.00
64.00;12433.03;12880.00;23.10;291.00
65.00;12433.03;12880.00;23.10;291.00
66.00;12433.03;12880.00;23.10;290.00
67.00;12440.09;12880.00;23.13;290.00
68.00;12440.09;12880.00;23.13;290.00
69.00;12440.09;12880.00;23.13;290.00
70.00;12440.09;12880.00;23.13;290.00
71.00;12440.09;12880.00;23.13;291.00
72.00;12440.09;12880.00;23.13;289.00
73.00;12440.09;12880.00;23.13;291.00
74.00;12440.09;12880.00;23.13;290.00
75.00;12440.09;12880.00;23.13;290.00
76.00;12440.09;12880.00;23.13;290.00
77.00;12440.09;12880.00;23.13;291.00
78.00;12440.09;12880.00;23.13;291.00
79.00;12440.09;12880.00;23.13;290.00
80.00;12433.03;12880.00;23.10;290.00
81.00;12440.09;12880.00;23.13;288.00
82.00;12440.09;12880.00;23.13;292.00
83.00;12440.09;12880.00;23.13;290.00
84.00;12433.03;12880.00;23.10;290.00
85.00;12433.03;12880.00;23.10;291.00
86.00;12440.09;12880.00;23.13;290.00
87.00;12440.09;12880.00;23.13;290.00
88.00;12433.03;12880.00;23.10;289.00
