# Étalon n°;Température de l'échantillon (°C);Tension mesurée par le conductimètre (V);Tension à 25°C (V); Conductivité de la solution (us/cm);Conductivité de la solution à 25°C (uS/cm)
1.00;24.06;0.34;0.35;4914.45;5000.00
2.00;22.08;0.14;0.15;1337.60;1413.00
3.00;22.40;0.61;0.64;12268.00;12880.00
