# Étalon n°; Conductivité de la solution (us/cm);Conductivité de la solution à 25°C (uS/cm);Température de l'échantillon (°C);Tension mesurée par le conductimètre (V)
1.00;96036.57;100000.00;22.83;247.00
2.00;95963.51;100000.00;22.79;247.00
3.00;95963.51;100000.00;22.79;247.00
4.00;96036.57;100000.00;22.83;247.00
5.00;96036.57;100000.00;22.83;249.00
6.00;96036.57;100000.00;22.83;247.00
7.00;96036.57;100000.00;22.83;247.00
8.00;95963.51;100000.00;22.79;247.00
9.00;95963.51;100000.00;22.79;247.00
10.00;95963.51;100000.00;22.79;247.00
11.00;95963.51;100000.00;22.79;247.00
12.00;95963.51;100000.00;22.79;249.00
13.00;95963.51;100000.00;22.79;247.00
14.00;95963.51;100000.00;22.79;247.00
15.00;95963.51;100000.00;22.79;247.00
16.00;95963.51;100000.00;22.79;247.00
17.00;95963.51;100000.00;22.79;249.00
18.00;96036.57;100000.00;22.83;247.00
19.00;96036.57;100000.00;22.83;247.00
20.00;95963.51;100000.00;22.79;247.00
21.00;95963.51;100000.00;22.79;248.00
22.00;95963.51;100000.00;22.79;247.00
23.00;95963.51;100000.00;22.79;247.00
24.00;95963.51;100000.00;22.79;247.00
25.00;95963.51;100000.00;22.79;247.00
26.00;95963.51;100000.00;22.79;248.00
27.00;95963.51;100000.00;22.79;247.00
28.00;95963.51;100000.00;22.79;248.00
29.00;95963.51;100000.00;22.79;248.00
30.00;96036.57;100000.00;22.83;247.00
31.00;95963.51;100000.00;22.79;247.00
32.00;96036.57;100000.00;22.83;249.00
33.00;95963.51;100000.00;22.79;248.00
34.00;95963.51;100000.00;22.79;247.00
35.00;96036.57;100000.00;22.83;247.00
36.00;96036.57;100000.00;22.83;248.00
37.00;95963.51;100000.00;22.79;247.00
38.00;96036.57;100000.00;22.83;247.00
39.00;95908.72;100000.00;22.76;247.00
40.00;95963.51;100000.00;22.79;247.00
41.00;95963.51;100000.00;22.79;248.00
42.00;96036.57;100000.00;22.83;247.00
43.00;95963.51;100000.00;22.79;247.00
44.00;96036.57;100000.00;22.83;247.00
45.00;95963.51;100000.00;22.79;248.00
46.00;95963.51;100000.00;22.79;247.00
47.00;96036.57;100000.00;22.83;247.00
48.00;95963.51;100000.00;22.79;247.00
49.00;95963.51;100000.00;22.79;247.00
50.00;95908.72;100000.00;22.76;248.00
51.00;96036.57;100000.00;22.83;246.00
52.00;95963.51;100000.00;22.79;248.00
53.00;95963.51;100000.00;22.79;247.00
54.00;95963.51;100000.00;22.79;249.00
55.00;96036.57;100000.00;22.83;247.00
56.00;95963.51;100000.00;22.79;248.00
57.00;96036.57;100000.00;22.83;247.00
58.00;95963.51;100000.00;22.79;247.00
59.00;95963.51;100000.00;22.79;247.00
60.00;95963.51;100000.00;22.79;248.00
61.00;95963.51;100000.00;22.79;248.00
62.00;95963.51;100000.00;22.79;247.00
63.00;95963.51;100000.00;22.79;247.00
64.00;96036.57;100000.00;22.83;247.00
65.00;95963.51;100000.00;22.79;247.00
66.00;95963.51;100000.00;22.79;246.00
67.00;95963.51;100000.00;22.79;248.00
68.00;95963.51;100000.00;22.79;247.00
69.00;95963.51;100000.00;22.79;247.00
70.00;95963.51;100000.00;22.79;247.00
71.00;95963.51;100000.00;22.79;247.00
72.00;95963.51;100000.00;22.79;246.00
73.00;95963.51;100000.00;22.79;247.00
74.00;95963.51;100000.00;22.79;247.00
75.00;95963.51;100000.00;22.79;248.00
76.00;95963.51;100000.00;22.79;247.00
77.00;95963.51;100000.00;22.79;247.00
78.00;95963.51;100000.00;22.79;247.00
79.00;96036.57;100000.00;22.83;247.00
80.00;96036.57;100000.00;22.83;247.00
81.00;95963.51;100000.00;22.79;248.00
82.00;96036.57;100000.00;22.83;247.00
83.00;95963.51;100000.00;22.79;247.00
84.00;95908.72;100000.00;22.76;249.00
85.00;95963.51;100000.00;22.79;249.00
