# Étalon n°;Température de l'échantillon (°C);Tension mesurée par le conductimètre (V);Tension à 25°C (V); Conductivité de la solution (us/cm);Conductivité de la solution à 25°C (uS/cm)
1.00;22.86;0.29;-0.01;4804.86;5000.00
2.00;22.79;0.13;-0.01;1355.94;1413.00
