# Étalon n°; Conductivité de la solution (us/cm);Conductivité de la solution à 25°C (uS/cm);Température de l'échantillon (°C);Tension mesurée par le conductimètre (V)
1.00;4831.97;5000.00;23.16;150.00
2.00;4831.97;5000.00;23.16;150.00
3.00;4831.97;5000.00;23.16;150.00
4.00;4831.97;5000.00;23.16;152.00
5.00;4831.97;5000.00;23.16;150.00
6.00;4831.97;5000.00;23.16;150.00
7.00;4831.97;5000.00;23.16;152.00
8.00;4831.97;5000.00;23.16;150.00
9.00;4831.97;5000.00;23.16;150.00
10.00;4831.97;5000.00;23.16;151.00
11.00;4831.97;5000.00;23.16;150.00
12.00;4829.23;5000.00;23.13;150.00
13.00;4835.62;5000.00;23.20;150.00
14.00;4835.62;5000.00;23.20;150.00
15.00;4831.97;5000.00;23.16;150.00
16.00;4831.97;5000.00;23.16;151.00
17.00;4831.97;5000.00;23.16;151.00
18.00;4831.97;5000.00;23.16;150.00
19.00;4831.97;5000.00;23.16;151.00
20.00;4831.97;5000.00;23.16;150.00
21.00;4831.97;5000.00;23.16;151.00
22.00;4829.23;5000.00;23.13;150.00
23.00;4835.62;5000.00;23.20;150.00
24.00;4831.97;5000.00;23.16;150.00
25.00;4831.97;5000.00;23.16;151.00
26.00;4831.97;5000.00;23.16;151.00
27.00;4831.97;5000.00;23.16;150.00
28.00;4831.97;5000.00;23.16;150.00
29.00;4829.23;5000.00;23.13;150.00
30.00;4831.97;5000.00;23.16;149.00
31.00;4831.97;5000.00;23.16;151.00
32.00;4831.97;5000.00;23.16;150.00
33.00;4831.97;5000.00;23.16;150.00
34.00;4829.23;5000.00;23.13;150.00
35.00;4831.97;5000.00;23.16;150.00
36.00;4831.97;5000.00;23.16;151.00
37.00;4831.97;5000.00;23.16;150.00
38.00;4831.97;5000.00;23.16;150.00
39.00;4831.97;5000.00;23.16;151.00
40.00;4831.97;5000.00;23.16;150.00
41.00;4831.97;5000.00;23.16;150.00
42.00;4831.97;5000.00;23.16;150.00
43.00;4831.97;5000.00;23.16;150.00
44.00;4831.97;5000.00;23.16;151.00
45.00;4829.23;5000.00;23.13;150.00
46.00;4831.97;5000.00;23.16;150.00
47.00;4831.97;5000.00;23.16;150.00
48.00;4831.97;5000.00;23.16;150.00
49.00;4831.97;5000.00;23.16;150.00
50.00;4829.23;5000.00;23.13;150.00
51.00;4831.97;5000.00;23.16;151.00
52.00;4831.97;5000.00;23.16;150.00
53.00;4831.97;5000.00;23.16;150.00
54.00;4831.97;5000.00;23.16;151.00
55.00;4831.97;5000.00;23.16;150.00
56.00;4831.97;5000.00;23.16;151.00
57.00;4831.97;5000.00;23.16;151.00
58.00;4831.97;5000.00;23.16;150.00
59.00;4831.97;5000.00;23.16;150.00
60.00;4831.97;5000.00;23.16;150.00
61.00;4831.97;5000.00;23.16;151.00
62.00;4831.97;5000.00;23.16;151.00
63.00;4831.97;5000.00;23.16;150.00
64.00;4831.97;5000.00;23.16;150.00
65.00;4831.97;5000.00;23.16;151.00
66.00;4831.97;5000.00;23.16;151.00
67.00;4831.97;5000.00;23.16;151.00
68.00;4831.97;5000.00;23.16;150.00
69.00;4831.97;5000.00;23.16;150.00
70.00;4829.23;5000.00;23.13;150.00
71.00;4831.97;5000.00;23.16;151.00
72.00;4831.97;5000.00;23.16;150.00
73.00;4831.97;5000.00;23.16;150.00
74.00;4831.97;5000.00;23.16;151.00
75.00;4831.97;5000.00;23.16;148.00
76.00;4831.97;5000.00;23.16;151.00
77.00;4831.97;5000.00;23.16;151.00
78.00;4831.97;5000.00;23.16;150.00
79.00;4831.97;5000.00;23.16;151.00
80.00;4831.97;5000.00;23.16;151.00
81.00;4831.97;5000.00;23.16;150.00
82.00;4831.97;5000.00;23.16;151.00
83.00;4835.62;5000.00;23.20;150.00
84.00;4831.97;5000.00;23.16;150.00
85.00;4829.23;5000.00;23.13;150.00
86.00;4831.97;5000.00;23.16;150.00
87.00;4831.97;5000.00;23.16;150.00
88.00;4831.97;5000.00;23.16;150.00
89.00;4829.23;5000.00;23.13;152.00
90.00;4835.62;5000.00;23.20;150.00
91.00;4831.97;5000.00;23.16;150.00
92.00;4831.97;5000.00;23.16;150.00
93.00;4831.97;5000.00;23.16;149.00
94.00;4831.97;5000.00;23.16;150.00
95.00;4831.97;5000.00;23.16;150.00
96.00;4831.97;5000.00;23.16;150.00
97.00;4829.23;5000.00;23.13;150.00
98.00;4831.97;5000.00;23.16;150.00
99.00;4831.97;5000.00;23.16;150.00
100.00;4831.97;5000.00;23.16;151.00
101.00;4831.97;5000.00;23.16;150.00
102.00;4831.97;5000.00;23.16;150.00
103.00;4829.23;5000.00;23.13;151.00
104.00;4829.23;5000.00;23.13;150.00
105.00;4829.23;5000.00;23.13;151.00
106.00;4831.97;5000.00;23.16;150.00
107.00;4829.23;5000.00;23.13;151.00
108.00;4831.97;5000.00;23.16;150.00
109.00;4831.97;5000.00;23.16;150.00
110.00;4831.97;5000.00;23.16;149.00
111.00;4831.97;5000.00;23.16;150.00
112.00;4831.97;5000.00;23.16;150.00
113.00;4831.97;5000.00;23.16;150.00
114.00;4829.23;5000.00;23.13;152.00
115.00;4829.23;5000.00;23.13;150.00
116.00;4831.97;5000.00;23.16;150.00
117.00;4829.23;5000.00;23.13;151.00
118.00;4831.97;5000.00;23.16;150.00
119.00;4831.97;5000.00;23.16;149.00
120.00;4829.23;5000.00;23.13;150.00
121.00;4831.97;5000.00;23.16;151.00
122.00;4831.97;5000.00;23.16;150.00
123.00;4829.23;5000.00;23.13;150.00
124.00;4831.97;5000.00;23.16;151.00
125.00;4831.97;5000.00;23.16;150.00
126.00;4829.23;5000.00;23.13;150.00
127.00;4831.97;5000.00;23.16;150.00
128.00;4831.97;5000.00;23.16;150.00
129.00;4831.97;5000.00;23.16;151.00
130.00;4831.97;5000.00;23.16;151.00
131.00;4831.97;5000.00;23.16;150.00
132.00;4831.97;5000.00;23.16;150.00
133.00;4831.97;5000.00;23.16;150.00
134.00;4831.97;5000.00;23.16;150.00
135.00;4829.23;5000.00;23.13;151.00
136.00;4831.97;5000.00;23.16;149.00
137.00;4831.97;5000.00;23.16;150.00
138.00;4831.97;5000.00;23.16;151.00
139.00;4831.97;5000.00;23.16;149.00
140.00;4831.97;5000.00;23.16;150.00
141.00;4829.23;5000.00;23.13;150.00
142.00;4831.97;5000.00;23.16;150.00
143.00;4831.97;5000.00;23.16;150.00
144.00;4829.23;5000.00;23.13;150.00
145.00;4831.97;5000.00;23.16;151.00
146.00;4831.97;5000.00;23.16;150.00
147.00;4829.23;5000.00;23.13;150.00
148.00;4831.97;5000.00;23.16;150.00
149.00;4829.23;5000.00;23.13;152.00
150.00;4829.23;5000.00;23.13;151.00
151.00;4831.97;5000.00;23.16;150.00
152.00;4831.97;5000.00;23.16;150.00
153.00;4829.23;5000.00;23.13;150.00
154.00;4831.97;5000.00;23.16;151.00
155.00;4831.97;5000.00;23.16;151.00
156.00;4829.23;5000.00;23.13;151.00
157.00;4829.23;5000.00;23.13;151.00
158.00;4829.23;5000.00;23.13;151.00
159.00;4831.97;5000.00;23.16;150.00
160.00;4829.23;5000.00;23.13;150.00
161.00;4831.97;5000.00;23.16;151.00
162.00;4831.97;5000.00;23.16;150.00
163.00;4829.23;5000.00;23.13;150.00
164.00;4831.97;5000.00;23.16;151.00
165.00;4829.23;5000.00;23.13;150.00
166.00;4831.97;5000.00;23.16;150.00
