# Etalon; Conductivite;Conductivite_25;Temperature;Tension
145.00;1382.29;1413.00;23.81;38.00
146.00;1381.26;1413.00;23.77;39.00
147.00;1382.29;1413.00;23.81;39.00
148.00;1382.29;1413.00;23.81;39.00
149.00;1382.29;1413.00;23.81;39.00
150.00;1381.26;1413.00;23.77;38.00
151.00;1381.26;1413.00;23.77;39.00
152.00;1382.29;1413.00;23.81;38.00
153.00;1381.26;1413.00;23.77;39.00
154.00;1382.29;1413.00;23.81;38.00
155.00;1382.29;1413.00;23.81;39.00
156.00;1382.29;1413.00;23.81;39.00
157.00;1382.29;1413.00;23.81;39.00
158.00;1381.26;1413.00;23.77;38.00
159.00;1381.26;1413.00;23.77;38.00
160.00;1381.26;1413.00;23.77;39.00
161.00;1381.26;1413.00;23.77;39.00
162.00;1381.26;1413.00;23.77;41.00
163.00;1382.29;1413.00;23.81;38.00
164.00;1382.29;1413.00;23.81;39.00
165.00;1382.29;1413.00;23.81;39.00
166.00;1381.26;1413.00;23.77;39.00
167.00;1382.29;1413.00;23.81;39.00
168.00;1382.29;1413.00;23.81;39.00
169.00;1382.29;1413.00;23.81;38.00
170.00;1381.26;1413.00;23.77;40.00
171.00;1381.26;1413.00;23.77;37.00
172.00;1382.29;1413.00;23.81;39.00
173.00;1381.26;1413.00;23.77;39.00
174.00;1381.26;1413.00;23.77;38.00
175.00;1381.26;1413.00;23.77;38.00
176.00;1381.26;1413.00;23.77;39.00
177.00;1381.26;1413.00;23.77;39.00
178.00;1381.26;1413.00;23.77;39.00
179.00;1381.26;1413.00;23.77;38.00
180.00;1382.29;1413.00;23.81;39.00
181.00;1382.29;1413.00;23.81;38.00
182.00;1382.29;1413.00;23.81;38.00
183.00;1382.29;1413.00;23.81;39.00
184.00;1381.26;1413.00;23.77;38.00
185.00;1381.26;1413.00;23.77;39.00
186.00;1381.26;1413.00;23.77;38.00
187.00;1381.26;1413.00;23.77;39.00
188.00;1381.26;1413.00;23.77;39.00
189.00;1381.26;1413.00;23.77;38.00
190.00;1382.29;1413.00;23.81;38.00
191.00;1381.26;1413.00;23.77;37.00
192.00;1381.26;1413.00;23.77;39.00
193.00;1381.26;1413.00;23.77;38.00
194.00;1381.26;1413.00;23.77;39.00
195.00;1382.29;1413.00;23.81;38.00
196.00;1382.29;1413.00;23.81;39.00
197.00;1381.26;1413.00;23.77;39.00
198.00;1381.26;1413.00;23.77;38.00
199.00;1381.26;1413.00;23.77;37.00
200.00;1381.26;1413.00;23.77;38.00
