# Étalon n°;Température de l'échantillon (°C);Tension mesurée par le conductimètre (V);Tension à 25°C (V); Conductivité de la solution (us/cm);Conductivité de la solution à 25°C (uS/cm)
1.00;22.71;0.42;0.43;12341.87;12880.00
2.00;22.61;0.32;0.33;4781.37;5000.00
3.00;22.94;0.14;0.15;1359.94;1413.00
